"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",97234,NA,NA,"yes"
"AGO","Angola","Middle Africa","CAPTURE","Fish","Q_tlw",9099761,NA,NA,"yes"
"AGO","Angola","Middle Africa","CAPTURE","Molluscs","Q_tlw",38880,NA,NA,"yes"
"AGO","Angola","Middle Africa","FRESHWATER","Aquatic plants","Q_tlw",10,NA,NA,"yes"
"AGO","Angola","Middle Africa","FRESHWATER","Fish","Q_tlw",16233,NA,NA,"yes"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",602,"Crustaceans","Crabs, sea-spiders","no"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",800,"Crustaceans","Crabs, sea-spiders","no"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",836,"Crustaceans","Crabs, sea-spiders","no"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",1400,"Crustaceans","Crabs, sea-spiders","no"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",1111,"Crustaceans","Crabs, sea-spiders","no"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",1596,"Crustaceans","Crabs, sea-spiders","no"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",900,"Crustaceans","Crabs, sea-spiders","no"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",296,"Crustaceans","Crabs, sea-spiders","no"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",172,"Crustaceans","Crabs, sea-spiders","no"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",103,"Crustaceans","Crabs, sea-spiders","no"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",117,"Crustaceans","Crabs, sea-spiders","no"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",500,"Crustaceans","Crabs, sea-spiders","no"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",800,"Crustaceans","Crabs, sea-spiders","no"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",1100,"Crustaceans","Crabs, sea-spiders","no"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",1400,"Crustaceans","Crabs, sea-spiders","no"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",1779,"Crustaceans","Crabs, sea-spiders","no"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",2005,"Crustaceans","Crabs, sea-spiders","no"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",1873,"Crustaceans","Crabs, sea-spiders","no"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",1629,"Crustaceans","Crabs, sea-spiders","no"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",1633,"Crustaceans","Crabs, sea-spiders","no"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",1635,"Crustaceans","Crabs, sea-spiders","no"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",1129,"Crustaceans","Crabs, sea-spiders","no"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",1461,"Crustaceans","Crabs, sea-spiders","no"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",2562,"Crustaceans","Crabs, sea-spiders","no"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"AGO","Angola","Middle Africa","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Lobsters, spiny-rock lobsters","no"
