"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"ALB","Albania","Southern Europe","BRACKISHWATER","Crustaceans","Q_tlw",65,NA,NA,"yes"
"ALB","Albania","Southern Europe","CAPTURE","Aquatic invertebrates","Q_tlw",108,NA,NA,"yes"
"ALB","Albania","Southern Europe","CAPTURE","Crustaceans","Q_tlw",22133,NA,NA,"yes"
"ALB","Albania","Southern Europe","CAPTURE","Fish","Q_tlw",135814.799,NA,NA,"yes"
"ALB","Albania","Southern Europe","CAPTURE","Molluscs","Q_tlw",7950,NA,NA,"yes"
"ALB","Albania","Southern Europe","FRESHWATER","Fish","Q_tlw",16349,NA,NA,"yes"
"ALB","Albania","Southern Europe","MARINE","Fish","Q_tlw",46098,NA,NA,"yes"
"ALB","Albania","Southern Europe","MARINE","Molluscs","Q_tlw",22082,NA,NA,"yes"
"ALB","Albania","Southern Europe","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"ALB","Albania","Southern Europe","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"ALB","Albania","Southern Europe","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"ALB","Albania","Southern Europe","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"ALB","Albania","Southern Europe","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"ALB","Albania","Southern Europe","BRACKISHWATER","Crustaceans","Q_tlw",10,"Crustaceans","Shrimps, prawns","no"
"ALB","Albania","Southern Europe","BRACKISHWATER","Crustaceans","Q_tlw",8,"Crustaceans","Shrimps, prawns","no"
"ALB","Albania","Southern Europe","BRACKISHWATER","Crustaceans","Q_tlw",5,"Crustaceans","Shrimps, prawns","no"
"ALB","Albania","Southern Europe","BRACKISHWATER","Crustaceans","Q_tlw",2,"Crustaceans","Shrimps, prawns","no"
"ALB","Albania","Southern Europe","BRACKISHWATER","Crustaceans","Q_tlw",14,"Crustaceans","Shrimps, prawns","no"
