"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"ARM","Armenia","Western Asia","CAPTURE","Crustaceans","Q_tlw",24473.632,NA,NA,"yes"
"ARM","Armenia","Western Asia","CAPTURE","Fish","Q_tlw",17281.366,NA,NA,"yes"
"ARM","Armenia","Western Asia","FRESHWATER","Crustaceans","Q_tlw",292,NA,NA,"yes"
"ARM","Armenia","Western Asia","FRESHWATER","Fish","Q_tlw",220581,NA,NA,"yes"
"ARM","Armenia","Western Asia","CAPTURE","Crustaceans","Q_tlw",717,"Crustaceans","Freshwater crustaceans","no"
"ARM","Armenia","Western Asia","CAPTURE","Crustaceans","Q_tlw",258,"Crustaceans","Freshwater crustaceans","no"
"ARM","Armenia","Western Asia","CAPTURE","Crustaceans","Q_tlw",266,"Crustaceans","Freshwater crustaceans","no"
"ARM","Armenia","Western Asia","CAPTURE","Crustaceans","Q_tlw",266,"Crustaceans","Freshwater crustaceans","no"
"ARM","Armenia","Western Asia","CAPTURE","Crustaceans","Q_tlw",340,"Crustaceans","Freshwater crustaceans","no"
"ARM","Armenia","Western Asia","CAPTURE","Crustaceans","Q_tlw",360,"Crustaceans","Freshwater crustaceans","no"
"ARM","Armenia","Western Asia","CAPTURE","Crustaceans","Q_tlw",3550,"Crustaceans","Freshwater crustaceans","no"
"ARM","Armenia","Western Asia","CAPTURE","Crustaceans","Q_tlw",4350,"Crustaceans","Freshwater crustaceans","no"
"ARM","Armenia","Western Asia","CAPTURE","Crustaceans","Q_tlw",7380,"Crustaceans","Freshwater crustaceans","no"
"ARM","Armenia","Western Asia","CAPTURE","Crustaceans","Q_tlw",3400,"Crustaceans","Freshwater crustaceans","no"
"ARM","Armenia","Western Asia","CAPTURE","Crustaceans","Q_tlw",329,"Crustaceans","Freshwater crustaceans","no"
"ARM","Armenia","Western Asia","CAPTURE","Crustaceans","Q_tlw",334,"Crustaceans","Freshwater crustaceans","no"
"ARM","Armenia","Western Asia","CAPTURE","Crustaceans","Q_tlw",642.656,"Crustaceans","Freshwater crustaceans","no"
"ARM","Armenia","Western Asia","CAPTURE","Crustaceans","Q_tlw",678.862,"Crustaceans","Freshwater crustaceans","no"
"ARM","Armenia","Western Asia","CAPTURE","Crustaceans","Q_tlw",696.965,"Crustaceans","Freshwater crustaceans","no"
"ARM","Armenia","Western Asia","CAPTURE","Crustaceans","Q_tlw",905.149,"Crustaceans","Freshwater crustaceans","no"
"ARM","Armenia","Western Asia","CAPTURE","Fish","Q_tlw",305,"Fish","Carps, barbels and other cyprinids","no"
"ARM","Armenia","Western Asia","CAPTURE","Fish","Q_tlw",338,"Fish","Carps, barbels and other cyprinids","no"
"ARM","Armenia","Western Asia","CAPTURE","Fish","Q_tlw",56,"Fish","Carps, barbels and other cyprinids","no"
"ARM","Armenia","Western Asia","CAPTURE","Fish","Q_tlw",45,"Fish","Carps, barbels and other cyprinids","no"
"ARM","Armenia","Western Asia","CAPTURE","Fish","Q_tlw",152,"Fish","Carps, barbels and other cyprinids","no"
"ARM","Armenia","Western Asia","CAPTURE","Fish","Q_tlw",62,"Fish","Carps, barbels and other cyprinids","no"
"ARM","Armenia","Western Asia","CAPTURE","Fish","Q_tlw",93,"Fish","Carps, barbels and other cyprinids","no"
