"ISO3","Area","Country Group","UN Region","EBRD Region","type","Item","unit","year","value","cpc_group","isscaap","grouped"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Crustaceans","Q_tlw",1992,908,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Crustaceans","Q_tlw",1993,1123,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Crustaceans","Q_tlw",1994,1530,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Crustaceans","Q_tlw",1995,1652,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Crustaceans","Q_tlw",1996,1632,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Crustaceans","Q_tlw",1997,1437,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Crustaceans","Q_tlw",1998,1437,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Crustaceans","Q_tlw",1999,2473,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2000,2909,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2001,2820,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2002,3757,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2003,3365,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2004,3723,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2005,3258,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2006,3541,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2007,3284,NA,NA,"yes"
