"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2043414,NA,NA,"yes"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Fish","Q_tlw",1935399,NA,NA,"yes"
"BGD","Bangladesh","Southern Asia","CAPTURE","Amphibians, Reptiles","Q_no_1",1907,NA,NA,"yes"
"BGD","Bangladesh","Southern Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",2171,NA,NA,"yes"
"BGD","Bangladesh","Southern Asia","CAPTURE","Crustaceans","Q_tlw",2240154,NA,NA,"yes"
"BGD","Bangladesh","Southern Asia","CAPTURE","Fish","Q_tlw",40188547.001,NA,NA,"yes"
"BGD","Bangladesh","Southern Asia","FRESHWATER","Crustaceans","Q_tlw",879896,NA,NA,"yes"
"BGD","Bangladesh","Southern Asia","FRESHWATER","Fish","Q_tlw",34758060,NA,NA,"yes"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",13160,"Crustaceans","Crabs, sea-spiders","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",14421,"Crustaceans","Crabs, sea-spiders","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",11787,"Crustaceans","Crabs, sea-spiders","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",12084,"Crustaceans","Crabs, sea-spiders","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",12562,"Crustaceans","Crabs, sea-spiders","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",12337,"Crustaceans","Crabs, sea-spiders","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",13397,"Crustaceans","Crabs, sea-spiders","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",21000,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",28525,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",28763,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",32434,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",42038,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",47738,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",56416,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",57770,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",59143,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",55499,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",56020,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",56503,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",58044,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",63052,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",64700,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",63600,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",67197,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",71607,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",51417,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",84781,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",87540,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",90105,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",80693,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",84024,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",79510,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",81722,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",70979,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",72913,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",76505,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",80759,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",82669,"Crustaceans","Shrimps, prawns","no"
"BGD","Bangladesh","Southern Asia","BRACKISHWATER","Fish","Q_tlw",16000,"Fish","Marine fishes not identified","no"
