"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"BHR","Bahrain","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",57169,NA,NA,"yes"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",173980.755,NA,NA,"yes"
"BHR","Bahrain","Western Asia","CAPTURE","Fish","Q_tlw",209923.021,NA,NA,"yes"
"BHR","Bahrain","Western Asia","CAPTURE","Molluscs","Q_tlw",5459.866,NA,NA,"yes"
"BHR","Bahrain","Western Asia","FRESHWATER","Fish","Q_tlw",135,NA,NA,"yes"
"BHR","Bahrain","Western Asia","MARINE","Fish","Q_tlw",178.258,NA,NA,"yes"
"BHR","Bahrain","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",312,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"BHR","Bahrain","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",358,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"BHR","Bahrain","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",43,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"BHR","Bahrain","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",1759,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"BHR","Bahrain","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",325,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"BHR","Bahrain","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",3341,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"BHR","Bahrain","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",79,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"BHR","Bahrain","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",1078,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"BHR","Bahrain","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",14104,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"BHR","Bahrain","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",5680,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"BHR","Bahrain","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",2530,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"BHR","Bahrain","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",400,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"BHR","Bahrain","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",4260,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"BHR","Bahrain","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",400,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"BHR","Bahrain","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",3950,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"BHR","Bahrain","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",300,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"BHR","Bahrain","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",2400,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"BHR","Bahrain","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",8440,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"BHR","Bahrain","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",7410,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",914,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",690,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",821,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",807,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",1047,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",1289,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",1017,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",2179,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",2380,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",2556,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",2828,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",3522,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",4169,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",3246,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",3695,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",3248,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",4656,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",4142,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",3912,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",3042,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",4319,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",3663,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",4898,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",4974,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",4028.631,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",5591.888,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",5289.445,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",5554.815,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",4572.994,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",2644.562,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",3839.122,"Crustaceans","Crabs, sea-spiders","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",107,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",209,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",149,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",150,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",125,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",56,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",51,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",6,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",2,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",2,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BHR","Bahrain","Western Asia","CAPTURE","Crustaceans","Q_tlw",3,"Crustaceans","Lobsters, spiny-rock lobsters","no"
