"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",110193.56,NA,NA,"yes"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",1345,NA,NA,"yes"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",25966,NA,NA,"yes"
"BLZ","Belize","Central America","CAPTURE","Fish","Q_tlw",3809942.537,NA,NA,"yes"
"BLZ","Belize","Central America","CAPTURE","Molluscs","Q_tlw",105850.29,NA,NA,"yes"
"BLZ","Belize","Central America","FRESHWATER","Fish","Q_tlw",6896,NA,NA,"yes"
"BLZ","Belize","Central America","MARINE","Aquatic plants","Q_tlw",91.6,NA,NA,"yes"
"BLZ","Belize","Central America","MARINE","Crustaceans","Q_tlw",31,NA,NA,"yes"
"BLZ","Belize","Central America","MARINE","Fish","Q_tlw",851.7,NA,NA,"yes"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",300,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",600,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",656,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",936,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",717,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",1230,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",1642,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",3163,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",3630,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",4460,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",4400,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",10160,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",11040,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",10653,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",7235,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",2472,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",2279,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",4027,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",6670,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",5047,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",5813,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",7080,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",7163.56,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",4150,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",1090,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",500,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",500,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",500,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",500,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",530,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","BRACKISHWATER","Crustaceans","Q_tlw",1050,"Crustaceans","Shrimps, prawns","no"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",24,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",68,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",56,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",587,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",476,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",98,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",18,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"BLZ","Belize","Central America","CAPTURE","Aquatic invertebrates","Q_tlw",18,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",14,"Crustaceans","Crabs, sea-spiders","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",14,"Crustaceans","Crabs, sea-spiders","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",20,"Crustaceans","Crabs, sea-spiders","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",28,"Crustaceans","Crabs, sea-spiders","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",53,"Crustaceans","Crabs, sea-spiders","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",210,"Crustaceans","Crabs, sea-spiders","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",25,"Crustaceans","Crabs, sea-spiders","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",29,"Crustaceans","Crabs, sea-spiders","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",16,"Crustaceans","Crabs, sea-spiders","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",8,"Crustaceans","Crabs, sea-spiders","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",4,"Crustaceans","Crabs, sea-spiders","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",2,"Crustaceans","Crabs, sea-spiders","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",13,"Crustaceans","Crabs, sea-spiders","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",16,"Crustaceans","Crabs, sea-spiders","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",13,"Crustaceans","Crabs, sea-spiders","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",4,"Crustaceans","Crabs, sea-spiders","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",5,"Crustaceans","Crabs, sea-spiders","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",6,"Crustaceans","Crabs, sea-spiders","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",7,"Crustaceans","Crabs, sea-spiders","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",7,"Crustaceans","Crabs, sea-spiders","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",7,"Crustaceans","Crabs, sea-spiders","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",7,"Crustaceans","Crabs, sea-spiders","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",6,"Crustaceans","Crabs, sea-spiders","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",4,"Crustaceans","Crabs, sea-spiders","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",4,"Crustaceans","Crabs, sea-spiders","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",463,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",388,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",490,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",608,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",448,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",534,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",468,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",552,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",503,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",394,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",525,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",541,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",555,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",439,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",573,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",630,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",761,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",624,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",674,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",833,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",660,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"BLZ","Belize","Central America","CAPTURE","Crustaceans","Q_tlw",652,"Crustaceans","Lobsters, spiny-rock lobsters","no"
