"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"BRN","Brunei Darussalam","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",21419.279,NA,NA,"yes"
"BRN","Brunei Darussalam","South-eastern Asia","BRACKISHWATER","Fish","Q_tlw",36.698,NA,NA,"yes"
"BRN","Brunei Darussalam","South-eastern Asia","CAPTURE","Amphibians, Reptiles","Q_no_1",0,NA,NA,"yes"
"BRN","Brunei Darussalam","South-eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",5,NA,NA,"yes"
"BRN","Brunei Darussalam","South-eastern Asia","CAPTURE","Crustaceans","Q_tlw",20090.831,NA,NA,"yes"
"BRN","Brunei Darussalam","South-eastern Asia","CAPTURE","Fish","Q_tlw",146036.332,NA,NA,"yes"
"BRN","Brunei Darussalam","South-eastern Asia","CAPTURE","Molluscs","Q_tlw",1912.3,NA,NA,"yes"
"BRN","Brunei Darussalam","South-eastern Asia","FRESHWATER","Crustaceans","Q_tlw",18.275,NA,NA,"yes"
"BRN","Brunei Darussalam","South-eastern Asia","FRESHWATER","Fish","Q_tlw",823.549,NA,NA,"yes"
"BRN","Brunei Darussalam","South-eastern Asia","MARINE","Crustaceans","Q_tlw",4.167,NA,NA,"yes"
"BRN","Brunei Darussalam","South-eastern Asia","MARINE","Fish","Q_tlw",4141.15,NA,NA,"yes"
"BRN","Brunei Darussalam","South-eastern Asia","MARINE","Molluscs","Q_tlw",3.703,NA,NA,"yes"
"BRN","Brunei Darussalam","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",1,"Crustaceans","Crabs, sea-spiders","no"
"BRN","Brunei Darussalam","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"BRN","Brunei Darussalam","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",3,"Crustaceans","Crabs, sea-spiders","no"
"BRN","Brunei Darussalam","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",3,"Crustaceans","Crabs, sea-spiders","no"
"BRN","Brunei Darussalam","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"BRN","Brunei Darussalam","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",1,"Crustaceans","Crabs, sea-spiders","no"
