"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",45.8,NA,NA,"yes"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",55984.273,NA,NA,"yes"
"CHE","Switzerland","Western Europe","FRESHWATER","Fish","Q_tlw",44148.4,NA,NA,"yes"
"CHE","Switzerland","Western Europe","MARINE","Crustaceans","Q_tlw",120,NA,NA,"yes"
"CHE","Switzerland","Western Europe","MARINE","Fish","Q_tlw",738.8,NA,NA,"yes"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",16,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",11,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",8,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",10.8,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",585,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",427,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",378,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",229,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",217,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",209,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",198,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",180,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",161,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",163,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",188,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",202,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",196,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",211,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",221,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",223,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",267,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",236,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",211,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",200,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",208,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",162,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",161,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",168,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",168,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",233,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",166,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",155.044,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",157.735,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",157.735,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",157.735,"Fish","Carps, barbels and other cyprinids","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",1024,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",514,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",463,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",466,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",528,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",414,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",471,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",539,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",461,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",329,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",356,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",569,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",447,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",514,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",519,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",504,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",626,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",664,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",584,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",648,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",598,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",606,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",553,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",577,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",643,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",622,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",527,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",581.6279999999999,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",652.824,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",652.824,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",652.824,"Fish","Miscellaneous freshwater fishes","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",7,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",4,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",5,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",5,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",3,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",2,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",3,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",3,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",2,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",2,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",2,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",2,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",2,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",2,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",3,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",2,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",5,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",4,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",4,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",3,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",3,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",3,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",2,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",3,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",2,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",2,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",2,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",1.314,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",1.509,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",1.509,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",1.509,"Fish","River eels","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",1099,"Fish","Salmons, trouts, smelts","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",877,"Fish","Salmons, trouts, smelts","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",635,"Fish","Salmons, trouts, smelts","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",888,"Fish","Salmons, trouts, smelts","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",1086,"Fish","Salmons, trouts, smelts","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",1222,"Fish","Salmons, trouts, smelts","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",1131,"Fish","Salmons, trouts, smelts","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",1107,"Fish","Salmons, trouts, smelts","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",1015,"Fish","Salmons, trouts, smelts","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",1203,"Fish","Salmons, trouts, smelts","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",975,"Fish","Salmons, trouts, smelts","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",1019,"Fish","Salmons, trouts, smelts","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",938,"Fish","Salmons, trouts, smelts","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",984,"Fish","Salmons, trouts, smelts","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",927,"Fish","Salmons, trouts, smelts","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",903,"Fish","Salmons, trouts, smelts","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",1177,"Fish","Salmons, trouts, smelts","no"
"CHE","Switzerland","Western Europe","CAPTURE","Fish","Q_tlw",1270,"Fish","Salmons, trouts, smelts","no"
