"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"CHL","Chile","South America","BRACKISHWATER","Fish","Q_tlw",5598.38,NA,NA,"yes"
"CHL","Chile","South America","BRACKISHWATER","Molluscs","Q_tlw",3197,NA,NA,"yes"
"CHL","Chile","South America","CAPTURE","Aquatic invertebrates","Q_tlw",1267702.043,NA,NA,"yes"
"CHL","Chile","South America","CAPTURE","Aquatic plants","Q_tlw",9732743,NA,NA,"yes"
"CHL","Chile","South America","CAPTURE","Crustaceans","Q_tlw",1034538.958,NA,NA,"yes"
"CHL","Chile","South America","CAPTURE","Fish","Q_tlw",109255634.298,NA,NA,"yes"
"CHL","Chile","South America","CAPTURE","Mammals","Q_no_1",528,NA,NA,"yes"
"CHL","Chile","South America","CAPTURE","Molluscs","Q_tlw",4586159,NA,NA,"yes"
"CHL","Chile","South America","FRESHWATER","Aquatic plants","Q_tlw",20121.03,NA,NA,"yes"
"CHL","Chile","South America","FRESHWATER","Fish","Q_tlw",351981.06,NA,NA,"yes"
"CHL","Chile","South America","MARINE","Aquatic plants","Q_tlw",1121839.42,NA,NA,"yes"
"CHL","Chile","South America","MARINE","Fish","Q_tlw",17577189.99,NA,NA,"yes"
"CHL","Chile","South America","MARINE","Molluscs","Q_tlw",5560577.797,NA,NA,"yes"
"CHL","Chile","South America","BRACKISHWATER","Fish","Q_tlw",17,"Fish","Flounders, halibuts, soles","no"
"CHL","Chile","South America","BRACKISHWATER","Fish","Q_tlw",32,"Fish","Flounders, halibuts, soles","no"
"CHL","Chile","South America","BRACKISHWATER","Fish","Q_tlw",19,"Fish","Flounders, halibuts, soles","no"
"CHL","Chile","South America","BRACKISHWATER","Fish","Q_tlw",38,"Fish","Flounders, halibuts, soles","no"
"CHL","Chile","South America","BRACKISHWATER","Fish","Q_tlw",168,"Fish","Flounders, halibuts, soles","no"
"CHL","Chile","South America","BRACKISHWATER","Fish","Q_tlw",278,"Fish","Flounders, halibuts, soles","no"
