"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",15114,NA,NA,"yes"
"CIV","Côte d’Ivoire","Western Africa","CAPTURE","Amphibians, Reptiles","Q_tlw",121,NA,NA,"yes"
"CIV","Côte d’Ivoire","Western Africa","CAPTURE","Crustaceans","Q_tlw",32740.122,NA,NA,"yes"
"CIV","Côte d’Ivoire","Western Africa","CAPTURE","Fish","Q_tlw",2221240.284,NA,NA,"yes"
"CIV","Côte d’Ivoire","Western Africa","CAPTURE","Molluscs","Q_tlw",4016,NA,NA,"yes"
"CIV","Côte d’Ivoire","Western Africa","FRESHWATER","Fish","Q_tlw",56134,NA,NA,"yes"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",252,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",233,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",4,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",199,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",25,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",152,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",290,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",335,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",128,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",155,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",81,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",160,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",160,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",160,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",120,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",20,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",20,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",20,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",35,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",68,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",70,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",70,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",70,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",70,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",33,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",50,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",50,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",50,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",50,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",50,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",50,"Fish","Miscellaneous freshwater fishes","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",24,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",40,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",35,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",25,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",3,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",18,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",35,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",40,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",514,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",447,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",454,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",271,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",271,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",271,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",211,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",120,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",120,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",120,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",165,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",600,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",750,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",750,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",750,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",750,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",750,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",720,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",720,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",720,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",720,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",720,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","BRACKISHWATER","Fish","Q_tlw",750,"Fish","Tilapias and other cichlids","no"
"CIV","Côte d’Ivoire","Western Africa","CAPTURE","Amphibians, Reptiles","Q_tlw",50,"Not classified","Turtles","no"
"CIV","Côte d’Ivoire","Western Africa","CAPTURE","Amphibians, Reptiles","Q_tlw",71,"Not classified","Turtles","no"
"CIV","Côte d’Ivoire","Western Africa","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"CIV","Côte d’Ivoire","Western Africa","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"CIV","Côte d’Ivoire","Western Africa","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"CIV","Côte d’Ivoire","Western Africa","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"CIV","Côte d’Ivoire","Western Africa","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"CIV","Côte d’Ivoire","Western Africa","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"CIV","Côte d’Ivoire","Western Africa","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"CIV","Côte d’Ivoire","Western Africa","CAPTURE","Crustaceans","Q_tlw",1,"Crustaceans","Crabs, sea-spiders","no"
"CIV","Côte d’Ivoire","Western Africa","CAPTURE","Crustaceans","Q_tlw",2,"Crustaceans","Crabs, sea-spiders","no"
"CIV","Côte d’Ivoire","Western Africa","CAPTURE","Crustaceans","Q_tlw",2,"Crustaceans","Crabs, sea-spiders","no"
