"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",92163.68,NA,NA,"yes"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_no_1",40,NA,NA,"yes"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_tlw",525,NA,NA,"yes"
"CRI","Costa Rica","Central America","CAPTURE","Crustaceans","Q_tlw",71175.309,NA,NA,"yes"
"CRI","Costa Rica","Central America","CAPTURE","Fish","Q_tlw",591168.918,NA,NA,"yes"
"CRI","Costa Rica","Central America","CAPTURE","Mammals","Q_no_1",3,NA,NA,"yes"
"CRI","Costa Rica","Central America","CAPTURE","Molluscs","Q_tlw",2357.906,NA,NA,"yes"
"CRI","Costa Rica","Central America","FRESHWATER","Crustaceans","Q_tlw",1821.41,NA,NA,"yes"
"CRI","Costa Rica","Central America","FRESHWATER","Fish","Q_tlw",452382,NA,NA,"yes"
"CRI","Costa Rica","Central America","FRESHWATER","Molluscs","Q_tlw",33,NA,NA,"yes"
"CRI","Costa Rica","Central America","MARINE","Fish","Q_tlw",6053,NA,NA,"yes"
"CRI","Costa Rica","Central America","MARINE","Molluscs","Q_tlw",195.47,NA,NA,"yes"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",650,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",700,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",800,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",2551,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",2400,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",2400,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",2348,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",2465,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",1350,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",1800,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",4097,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",5051,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",5076,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",5714,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",5726,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",5274,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",5265,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",3544,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",3215,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",3028,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",3043,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",2890,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",2973,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",2682,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",3000,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",3000,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",2700,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",2500,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",2200,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",2600,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","BRACKISHWATER","Crustaceans","Q_tlw",1121.68,"Crustaceans","Shrimps, prawns","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_no_1",0,"Not classified","Crocodiles and alligators","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_no_1",0,"Not classified","Crocodiles and alligators","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_no_1",0,"Not classified","Crocodiles and alligators","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_no_1",0,"Not classified","Crocodiles and alligators","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_no_1",0,"Not classified","Crocodiles and alligators","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_no_1",0,"Not classified","Crocodiles and alligators","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_no_1",40,"Not classified","Crocodiles and alligators","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_no_1",0,"Not classified","Crocodiles and alligators","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_no_1",0,"Not classified","Crocodiles and alligators","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_no_1",0,"Not classified","Crocodiles and alligators","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_no_1",0,"Not classified","Crocodiles and alligators","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_no_1",0,"Not classified","Crocodiles and alligators","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_no_1",0,"Not classified","Crocodiles and alligators","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_no_1",0,"Not classified","Crocodiles and alligators","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_no_1",0,"Not classified","Crocodiles and alligators","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_no_1",0,"Not classified","Crocodiles and alligators","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_no_1",0,"Not classified","Crocodiles and alligators","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_no_1",0,"Not classified","Crocodiles and alligators","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_no_1",0,"Not classified","Crocodiles and alligators","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_no_1",0,"Not classified","Crocodiles and alligators","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_no_1",0,"Not classified","Crocodiles and alligators","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_tlw",43,"Not classified","Turtles","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_tlw",113,"Not classified","Turtles","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_tlw",101,"Not classified","Turtles","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_tlw",149,"Not classified","Turtles","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_tlw",33,"Not classified","Turtles","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_tlw",86,"Not classified","Turtles","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"CRI","Costa Rica","Central America","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
