"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"CUB","Cuba","Caribbean","BRACKISHWATER","Crustaceans","Q_tlw",91673.4,NA,NA,"yes"
"CUB","Cuba","Caribbean","CAPTURE","Amphibians, Reptiles","Q_no_1",971,NA,NA,"yes"
"CUB","Cuba","Caribbean","CAPTURE","Amphibians, Reptiles","Q_tlw",1986,NA,NA,"yes"
"CUB","Cuba","Caribbean","CAPTURE","Aquatic invertebrates","Q_tlw",1267.2,NA,NA,"yes"
"CUB","Cuba","Caribbean","CAPTURE","Crustaceans","Q_tlw",252145.4,NA,NA,"yes"
"CUB","Cuba","Caribbean","CAPTURE","Fish","Q_tlw",952988.4,NA,NA,"yes"
"CUB","Cuba","Caribbean","CAPTURE","Molluscs","Q_tlw",62924.8,NA,NA,"yes"
"CUB","Cuba","Caribbean","FRESHWATER","Fish","Q_tlw",745567.8,NA,NA,"yes"
"CUB","Cuba","Caribbean","MARINE","Crustaceans","Q_tlw",53,NA,NA,"yes"
"CUB","Cuba","Caribbean","MARINE","Molluscs","Q_tlw",32430.3,NA,NA,"yes"
"CUB","Cuba","Caribbean","BRACKISHWATER","Crustaceans","Q_tlw",1004,"Crustaceans","Shrimps, prawns","no"
"CUB","Cuba","Caribbean","BRACKISHWATER","Crustaceans","Q_tlw",803,"Crustaceans","Shrimps, prawns","no"
"CUB","Cuba","Caribbean","BRACKISHWATER","Crustaceans","Q_tlw",1136,"Crustaceans","Shrimps, prawns","no"
"CUB","Cuba","Caribbean","BRACKISHWATER","Crustaceans","Q_tlw",1513,"Crustaceans","Shrimps, prawns","no"
"CUB","Cuba","Caribbean","BRACKISHWATER","Crustaceans","Q_tlw",1315,"Crustaceans","Shrimps, prawns","no"
"CUB","Cuba","Caribbean","BRACKISHWATER","Crustaceans","Q_tlw",2001,"Crustaceans","Shrimps, prawns","no"
"CUB","Cuba","Caribbean","BRACKISHWATER","Crustaceans","Q_tlw",1734,"Crustaceans","Shrimps, prawns","no"
"CUB","Cuba","Caribbean","BRACKISHWATER","Crustaceans","Q_tlw",1068,"Crustaceans","Shrimps, prawns","no"
"CUB","Cuba","Caribbean","BRACKISHWATER","Crustaceans","Q_tlw",2338,"Crustaceans","Shrimps, prawns","no"
"CUB","Cuba","Caribbean","BRACKISHWATER","Crustaceans","Q_tlw",1307,"Crustaceans","Shrimps, prawns","no"
"CUB","Cuba","Caribbean","BRACKISHWATER","Crustaceans","Q_tlw",1910,"Crustaceans","Shrimps, prawns","no"
