"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",1638227.184,NA,NA,"yes"
"GEO","Georgia","Western Asia","CAPTURE","Molluscs","Q_tlw",7975.27,NA,NA,"yes"
"GEO","Georgia","Western Asia","FRESHWATER","Fish","Q_tlw",27674.7,NA,NA,"yes"
"GEO","Georgia","Western Asia","MARINE","Fish","Q_tlw",280,NA,NA,"yes"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",107,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",517,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",11,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",76,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",3,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",1,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",4,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",12,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",15,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",6,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",7,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",33,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",27,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",29,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",35,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",41,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",28,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",15,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",2,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",21,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",20,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",19,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",19,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",19,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",19,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",19,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",19,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",19,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",19,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",19,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",19,"Fish","Carps, barbels and other cyprinids","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",70,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",172,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",187,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",146,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",223,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",58,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",53,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",41,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",0,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",32,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",37,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",45,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",29,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",33,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",37,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",73,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",20,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",31,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",19,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",55,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",53,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",40,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",30,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",20,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",132.288,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",416.79900000000004,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",618.21,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",1600,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",875,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",900,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",900,"Fish","Cods, hakes, haddocks","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",0,"Fish","Flounders, halibuts, soles","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",0,"Fish","Flounders, halibuts, soles","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",0,"Fish","Flounders, halibuts, soles","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",0,"Fish","Flounders, halibuts, soles","no"
"GEO","Georgia","Western Asia","CAPTURE","Fish","Q_tlw",0,"Fish","Flounders, halibuts, soles","no"
