"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",318625.42,NA,NA,"yes"
"GTM","Guatemala","Central America","BRACKISHWATER","Fish","Q_tlw",2418,NA,NA,"yes"
"GTM","Guatemala","Central America","BRACKISHWATER","Molluscs","Q_tlw",73,NA,NA,"yes"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",47942.4,NA,NA,"yes"
"GTM","Guatemala","Central America","CAPTURE","Fish","Q_tlw",459627.967,NA,NA,"yes"
"GTM","Guatemala","Central America","CAPTURE","Molluscs","Q_tlw",821.26,NA,NA,"yes"
"GTM","Guatemala","Central America","FRESHWATER","Crustaceans","Q_tlw",743.8,NA,NA,"yes"
"GTM","Guatemala","Central America","FRESHWATER","Fish","Q_tlw",154859.36,NA,NA,"yes"
"GTM","Guatemala","Central America","FRESHWATER","Molluscs","Q_tlw",99,NA,NA,"yes"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",620,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",2740,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",3636,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",2750,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",1400,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",2045,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",1381,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",1403,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",1492,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",2500,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",5400,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",3768,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",3900,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",7000,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",13428,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",13500,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",15727,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",13623,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",21921,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",15944,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",12264,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",13764,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",13891,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",14268,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",14909,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",16455,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",17273,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",19500,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",20568,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",16472.42,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Crustaceans","Q_tlw",25083,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Fish","Q_tlw",3,"Fish","Miscellaneous freshwater fishes","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Tilapias and other cichlids","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Tilapias and other cichlids","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Tilapias and other cichlids","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Tilapias and other cichlids","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Fish","Q_tlw",350,"Fish","Tilapias and other cichlids","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Fish","Q_tlw",428,"Fish","Tilapias and other cichlids","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Fish","Q_tlw",392,"Fish","Tilapias and other cichlids","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Fish","Q_tlw",415,"Fish","Tilapias and other cichlids","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Fish","Q_tlw",415,"Fish","Tilapias and other cichlids","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Fish","Q_tlw",415,"Fish","Tilapias and other cichlids","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Molluscs","Q_tlw",1,"Molluscs","Clams, cockles, arkshells","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Molluscs","Q_tlw",0,"Molluscs","Clams, cockles, arkshells","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Molluscs","Q_tlw",0,"Molluscs","Clams, cockles, arkshells","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Molluscs","Q_tlw",0,"Molluscs","Clams, cockles, arkshells","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Molluscs","Q_tlw",0,"Molluscs","Clams, cockles, arkshells","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Molluscs","Q_tlw",0,"Molluscs","Mussels","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Molluscs","Q_tlw",0,"Molluscs","Mussels","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Molluscs","Q_tlw",6,"Molluscs","Mussels","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Molluscs","Q_tlw",5,"Molluscs","Mussels","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Molluscs","Q_tlw",7,"Molluscs","Mussels","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Molluscs","Q_tlw",6,"Molluscs","Mussels","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Molluscs","Q_tlw",7,"Molluscs","Mussels","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Molluscs","Q_tlw",10,"Molluscs","Mussels","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Molluscs","Q_tlw",7,"Molluscs","Mussels","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Molluscs","Q_tlw",8,"Molluscs","Mussels","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Molluscs","Q_tlw",8,"Molluscs","Mussels","no"
"GTM","Guatemala","Central America","BRACKISHWATER","Molluscs","Q_tlw",8,"Molluscs","Mussels","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",1,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",2,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",4,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",3,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",5,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",7,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",16,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",18,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",2,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",2,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",1,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",1,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",2,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",6,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",8,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",8,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",19,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",20,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",14,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",20,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",27,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",4,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",1,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",1,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",2,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",7,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",7,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",8,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",3,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",6,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",1,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",1,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",3,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",2,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",6,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",6,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",10,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",3.24,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",5,"Crustaceans","Miscellaneous marine crustaceans","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",1925,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",2563,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",2550,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",3362,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",2906,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",1093,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",3312,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",3055,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",1556,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",1128,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",1620,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",3774,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",2840,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",1249,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",1386,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",1413,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",1338,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",567,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",1986,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",1445,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",830,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",946,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",260,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",450,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",588,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",655,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",782,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",964,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",504,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",251.16,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Crustaceans","Q_tlw",382,"Crustaceans","Shrimps, prawns","no"
"GTM","Guatemala","Central America","CAPTURE","Fish","Q_tlw",82,"Fish","Flounders, halibuts, soles","no"
"GTM","Guatemala","Central America","CAPTURE","Fish","Q_tlw",836,"Fish","Marine fishes not identified","no"
"GTM","Guatemala","Central America","CAPTURE","Fish","Q_tlw",550,"Fish","Marine fishes not identified","no"
"GTM","Guatemala","Central America","CAPTURE","Fish","Q_tlw",634,"Fish","Marine fishes not identified","no"
"GTM","Guatemala","Central America","CAPTURE","Fish","Q_tlw",645,"Fish","Marine fishes not identified","no"
"GTM","Guatemala","Central America","CAPTURE","Fish","Q_tlw",645,"Fish","Marine fishes not identified","no"
"GTM","Guatemala","Central America","CAPTURE","Fish","Q_tlw",500,"Fish","Marine fishes not identified","no"
"GTM","Guatemala","Central America","CAPTURE","Fish","Q_tlw",701,"Fish","Marine fishes not identified","no"
"GTM","Guatemala","Central America","CAPTURE","Fish","Q_tlw",733,"Fish","Marine fishes not identified","no"
"GTM","Guatemala","Central America","CAPTURE","Fish","Q_tlw",513,"Fish","Marine fishes not identified","no"
"GTM","Guatemala","Central America","CAPTURE","Fish","Q_tlw",590,"Fish","Marine fishes not identified","no"
"GTM","Guatemala","Central America","CAPTURE","Fish","Q_tlw",588,"Fish","Marine fishes not identified","no"
"GTM","Guatemala","Central America","CAPTURE","Fish","Q_tlw",445,"Fish","Marine fishes not identified","no"
"GTM","Guatemala","Central America","CAPTURE","Fish","Q_tlw",408,"Fish","Marine fishes not identified","no"
