"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",454,NA,NA,"yes"
"GUM","Guam","Micronesia","BRACKISHWATER","Fish","Q_tlw",615,NA,NA,"yes"
"GUM","Guam","Micronesia","CAPTURE","Aquatic invertebrates","Q_tlw",3.3770000000000002,NA,NA,"yes"
"GUM","Guam","Micronesia","CAPTURE","Crustaceans","Q_tlw",18.891000000000002,NA,NA,"yes"
"GUM","Guam","Micronesia","CAPTURE","Fish","Q_tlw",8608.372,NA,NA,"yes"
"GUM","Guam","Micronesia","CAPTURE","Molluscs","Q_tlw",43.41,NA,NA,"yes"
"GUM","Guam","Micronesia","FRESHWATER","Crustaceans","Q_tlw",1.5,NA,NA,"yes"
"GUM","Guam","Micronesia","FRESHWATER","Fish","Q_tlw",3872,NA,NA,"yes"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",10,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",20,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",20,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",20,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",22,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",22,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",22,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",25,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",25,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",25,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",25,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",10,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",10,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",10,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",12,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",12,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",12,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",12,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",12,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",11,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",11,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",10,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",10,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",10,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",10,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",10,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",10,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",12,"Crustaceans","Shrimps, prawns","no"
"GUM","Guam","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",14,"Crustaceans","Shrimps, prawns","no"
