"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"GUY","Guyana","South America","BRACKISHWATER","Crustaceans","Q_tlw",3889.203,NA,NA,"yes"
"GUY","Guyana","South America","BRACKISHWATER","Fish","Q_tlw",5959.016,NA,NA,"yes"
"GUY","Guyana","South America","CAPTURE","Amphibians, Reptiles","Q_no_1",322416,NA,NA,"yes"
"GUY","Guyana","South America","CAPTURE","Crustaceans","Q_tlw",526128.84,NA,NA,"yes"
"GUY","Guyana","South America","CAPTURE","Fish","Q_tlw",911694.765,NA,NA,"yes"
"GUY","Guyana","South America","FRESHWATER","Crustaceans","Q_tlw",0,NA,NA,"yes"
"GUY","Guyana","South America","FRESHWATER","Fish","Q_tlw",2843.909,NA,NA,"yes"
"GUY","Guyana","South America","BRACKISHWATER","Crustaceans","Q_tlw",10,"Crustaceans","Shrimps, prawns","no"
"GUY","Guyana","South America","BRACKISHWATER","Crustaceans","Q_tlw",40,"Crustaceans","Shrimps, prawns","no"
"GUY","Guyana","South America","BRACKISHWATER","Crustaceans","Q_tlw",50,"Crustaceans","Shrimps, prawns","no"
"GUY","Guyana","South America","BRACKISHWATER","Crustaceans","Q_tlw",70,"Crustaceans","Shrimps, prawns","no"
"GUY","Guyana","South America","BRACKISHWATER","Crustaceans","Q_tlw",90,"Crustaceans","Shrimps, prawns","no"
"GUY","Guyana","South America","BRACKISHWATER","Crustaceans","Q_tlw",100,"Crustaceans","Shrimps, prawns","no"
"GUY","Guyana","South America","BRACKISHWATER","Crustaceans","Q_tlw",120,"Crustaceans","Shrimps, prawns","no"
"GUY","Guyana","South America","BRACKISHWATER","Crustaceans","Q_tlw",162,"Crustaceans","Shrimps, prawns","no"
"GUY","Guyana","South America","BRACKISHWATER","Crustaceans","Q_tlw",162,"Crustaceans","Shrimps, prawns","no"
"GUY","Guyana","South America","BRACKISHWATER","Crustaceans","Q_tlw",162,"Crustaceans","Shrimps, prawns","no"
"GUY","Guyana","South America","BRACKISHWATER","Crustaceans","Q_tlw",162,"Crustaceans","Shrimps, prawns","no"
"GUY","Guyana","South America","BRACKISHWATER","Crustaceans","Q_tlw",162,"Crustaceans","Shrimps, prawns","no"
"GUY","Guyana","South America","BRACKISHWATER","Crustaceans","Q_tlw",162,"Crustaceans","Shrimps, prawns","no"
"GUY","Guyana","South America","BRACKISHWATER","Crustaceans","Q_tlw",162,"Crustaceans","Shrimps, prawns","no"
"GUY","Guyana","South America","BRACKISHWATER","Crustaceans","Q_tlw",160,"Crustaceans","Shrimps, prawns","no"
"GUY","Guyana","South America","BRACKISHWATER","Crustaceans","Q_tlw",160,"Crustaceans","Shrimps, prawns","no"
"GUY","Guyana","South America","BRACKISHWATER","Crustaceans","Q_tlw",77,"Crustaceans","Shrimps, prawns","no"
"GUY","Guyana","South America","BRACKISHWATER","Crustaceans","Q_tlw",77.7,"Crustaceans","Shrimps, prawns","no"
"GUY","Guyana","South America","BRACKISHWATER","Crustaceans","Q_tlw",47.2,"Crustaceans","Shrimps, prawns","no"
"GUY","Guyana","South America","BRACKISHWATER","Crustaceans","Q_tlw",29,"Crustaceans","Shrimps, prawns","no"
"GUY","Guyana","South America","BRACKISHWATER","Crustaceans","Q_tlw",11,"Crustaceans","Shrimps, prawns","no"
