"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"IMN","Isle of Man","Northern Europe","CAPTURE","Crustaceans","Q_tlw",13637.938,NA,NA,"yes"
"IMN","Isle of Man","Northern Europe","CAPTURE","Fish","Q_tlw",6989.736,NA,NA,"yes"
"IMN","Isle of Man","Northern Europe","CAPTURE","Molluscs","Q_tlw",104644.599,NA,NA,"yes"
"IMN","Isle of Man","Northern Europe","CAPTURE","Crustaceans","Q_tlw",16,"Crustaceans","Crabs, sea-spiders","no"
"IMN","Isle of Man","Northern Europe","CAPTURE","Crustaceans","Q_tlw",137,"Crustaceans","Crabs, sea-spiders","no"
"IMN","Isle of Man","Northern Europe","CAPTURE","Crustaceans","Q_tlw",52,"Crustaceans","Crabs, sea-spiders","no"
"IMN","Isle of Man","Northern Europe","CAPTURE","Crustaceans","Q_tlw",282,"Crustaceans","Crabs, sea-spiders","no"
"IMN","Isle of Man","Northern Europe","CAPTURE","Crustaceans","Q_tlw",94,"Crustaceans","Crabs, sea-spiders","no"
"IMN","Isle of Man","Northern Europe","CAPTURE","Crustaceans","Q_tlw",478,"Crustaceans","Crabs, sea-spiders","no"
"IMN","Isle of Man","Northern Europe","CAPTURE","Crustaceans","Q_tlw",274,"Crustaceans","Crabs, sea-spiders","no"
"IMN","Isle of Man","Northern Europe","CAPTURE","Crustaceans","Q_tlw",231,"Crustaceans","Crabs, sea-spiders","no"
"IMN","Isle of Man","Northern Europe","CAPTURE","Crustaceans","Q_tlw",142,"Crustaceans","Crabs, sea-spiders","no"
"IMN","Isle of Man","Northern Europe","CAPTURE","Crustaceans","Q_tlw",170,"Crustaceans","Crabs, sea-spiders","no"
"IMN","Isle of Man","Northern Europe","CAPTURE","Crustaceans","Q_tlw",387,"Crustaceans","Crabs, sea-spiders","no"
"IMN","Isle of Man","Northern Europe","CAPTURE","Crustaceans","Q_tlw",353,"Crustaceans","Crabs, sea-spiders","no"
"IMN","Isle of Man","Northern Europe","CAPTURE","Crustaceans","Q_tlw",415,"Crustaceans","Crabs, sea-spiders","no"
"IMN","Isle of Man","Northern Europe","CAPTURE","Crustaceans","Q_tlw",336,"Crustaceans","Crabs, sea-spiders","no"
"IMN","Isle of Man","Northern Europe","CAPTURE","Crustaceans","Q_tlw",402,"Crustaceans","Crabs, sea-spiders","no"
"IMN","Isle of Man","Northern Europe","CAPTURE","Crustaceans","Q_tlw",245,"Crustaceans","Crabs, sea-spiders","no"
"IMN","Isle of Man","Northern Europe","CAPTURE","Crustaceans","Q_tlw",200,"Crustaceans","Crabs, sea-spiders","no"
"IMN","Isle of Man","Northern Europe","CAPTURE","Crustaceans","Q_tlw",292,"Crustaceans","Crabs, sea-spiders","no"
"IMN","Isle of Man","Northern Europe","CAPTURE","Crustaceans","Q_tlw",459,"Crustaceans","Crabs, sea-spiders","no"
"IMN","Isle of Man","Northern Europe","CAPTURE","Crustaceans","Q_tlw",554,"Crustaceans","Crabs, sea-spiders","no"
"IMN","Isle of Man","Northern Europe","CAPTURE","Crustaceans","Q_tlw",495,"Crustaceans","Crabs, sea-spiders","no"
"IMN","Isle of Man","Northern Europe","CAPTURE","Crustaceans","Q_tlw",453,"Crustaceans","Crabs, sea-spiders","no"
