"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",1211261.886,NA,NA,"yes"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Mammals","Q_no_1",0,NA,NA,"yes"
"KAZ","Kazakhstan","Central Asia","FRESHWATER","Fish","Q_tlw",61977.254,NA,NA,"yes"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",31207,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",29729,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",26676,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",28675,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",26227,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",16361,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",13681,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",14731,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",15690,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",16110,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",18145,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",19767,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",25558,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",27275,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",22965,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",25238,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",35492,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",27708,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",31671,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",21272,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",22344,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",20808,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",20974,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",23383,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",21283,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",23309.302,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",21509.328,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",28016.494,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",26919.676,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",29611.567,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",31187.833000000002,"Fish","Carps, barbels and other cyprinids","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",117,"Fish","Flounders, halibuts, soles","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",34,"Fish","Flounders, halibuts, soles","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",32,"Fish","Flounders, halibuts, soles","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",71,"Fish","Flounders, halibuts, soles","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",686,"Fish","Flounders, halibuts, soles","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",555,"Fish","Flounders, halibuts, soles","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",357,"Fish","Flounders, halibuts, soles","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",388,"Fish","Flounders, halibuts, soles","no"
"KAZ","Kazakhstan","Central Asia","CAPTURE","Fish","Q_tlw",575,"Fish","Flounders, halibuts, soles","no"
