"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"LAO","Lao People's Democratic Republic","South-eastern Asia","CAPTURE","Fish","Q_tlw",1192558,NA,NA,"yes"
"LAO","Lao People's Democratic Republic","South-eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",955,NA,NA,"yes"
"LAO","Lao People's Democratic Republic","South-eastern Asia","FRESHWATER","Fish","Q_tlw",2175686.5,NA,NA,"yes"
"LAO","Lao People's Democratic Republic","South-eastern Asia","CAPTURE","Fish","Q_tlw",2500,"Fish","Carps, barbels and other cyprinids","no"
"LAO","Lao People's Democratic Republic","South-eastern Asia","CAPTURE","Fish","Q_tlw",2500,"Fish","Carps, barbels and other cyprinids","no"
"LAO","Lao People's Democratic Republic","South-eastern Asia","CAPTURE","Fish","Q_tlw",3200,"Fish","Carps, barbels and other cyprinids","no"
"LAO","Lao People's Democratic Republic","South-eastern Asia","CAPTURE","Fish","Q_tlw",4000,"Fish","Carps, barbels and other cyprinids","no"
"LAO","Lao People's Democratic Republic","South-eastern Asia","CAPTURE","Fish","Q_tlw",3500,"Fish","Carps, barbels and other cyprinids","no"
"LAO","Lao People's Democratic Republic","South-eastern Asia","CAPTURE","Fish","Q_tlw",2800,"Fish","Carps, barbels and other cyprinids","no"
"LAO","Lao People's Democratic Republic","South-eastern Asia","CAPTURE","Fish","Q_tlw",3000,"Fish","Carps, barbels and other cyprinids","no"
"LAO","Lao People's Democratic Republic","South-eastern Asia","CAPTURE","Fish","Q_tlw",4500,"Fish","Carps, barbels and other cyprinids","no"
"LAO","Lao People's Democratic Republic","South-eastern Asia","CAPTURE","Fish","Q_tlw",4400,"Fish","Carps, barbels and other cyprinids","no"
"LAO","Lao People's Democratic Republic","South-eastern Asia","CAPTURE","Fish","Q_tlw",4650,"Fish","Carps, barbels and other cyprinids","no"
"LAO","Lao People's Democratic Republic","South-eastern Asia","CAPTURE","Fish","Q_tlw",5000,"Fish","Carps, barbels and other cyprinids","no"
"LAO","Lao People's Democratic Republic","South-eastern Asia","CAPTURE","Fish","Q_tlw",4500,"Fish","Carps, barbels and other cyprinids","no"
"LAO","Lao People's Democratic Republic","South-eastern Asia","CAPTURE","Fish","Q_tlw",4500,"Fish","Carps, barbels and other cyprinids","no"
