"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",554.31,NA,NA,"yes"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",46162.7,NA,NA,"yes"
"LCA","Saint Lucia","Caribbean","CAPTURE","Mammals","Q_no_1",161,NA,NA,"yes"
"LCA","Saint Lucia","Caribbean","CAPTURE","Molluscs","Q_tlw",7363.193,NA,NA,"yes"
"LCA","Saint Lucia","Caribbean","FRESHWATER","Crustaceans","Q_tlw",76.962,NA,NA,"yes"
"LCA","Saint Lucia","Caribbean","FRESHWATER","Fish","Q_tlw",129.463,NA,NA,"yes"
"LCA","Saint Lucia","Caribbean","MARINE","Aquatic plants","Q_tlw",1059.46,NA,NA,"yes"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",20,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",15,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",14,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",12,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",12,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",12,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",32,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",30,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",25,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",36,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",10,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",23,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",11,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",15,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",9,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",13,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",11,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",10,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",19,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",24,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",28,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",31,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",25,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",16,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",9,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",19,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",17,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",13.5,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",12.22,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",16.62,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Crustaceans","Q_tlw",13.97,"Crustaceans","Miscellaneous marine crustaceans","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",559,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",790,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",442,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",385,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",308,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",264,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",243,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",325,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",352,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",435,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",324,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",325,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",361,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",380,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",345,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",302,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",330,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",375,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",402,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",298,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",338,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",247,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",406,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",441,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",392,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",318,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",568,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",419.61,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",380.56,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",555.95,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",518.59,"Fish","Marine fishes not identified","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",31,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",76,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",69,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",31,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",34,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",45,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",68,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",82,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",43,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",57,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",39,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",33,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",37,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",51,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",12,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",64,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",71,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",29,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",47,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",39,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",39,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",34,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",39,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",35,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",27,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",40.05,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",48.85,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",26.7,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",30.12,"Fish","Miscellaneous coastal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",2.86,"Fish","Miscellaneous demersal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",2.69,"Fish","Miscellaneous demersal fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
"LCA","Saint Lucia","Caribbean","CAPTURE","Fish","Q_tlw",0,"Fish","Miscellaneous freshwater fishes","no"
