"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"LKA","Sri Lanka","Southern Asia","BRACKISHWATER","Aquatic plants","Q_tlw",7188.25,NA,NA,"yes"
"LKA","Sri Lanka","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",146585.58,NA,NA,"yes"
"LKA","Sri Lanka","Southern Asia","BRACKISHWATER","Fish","Q_tlw",2015.723,NA,NA,"yes"
"LKA","Sri Lanka","Southern Asia","BRACKISHWATER","Molluscs","Q_tlw",94.01,NA,NA,"yes"
"LKA","Sri Lanka","Southern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",53802,NA,NA,"yes"
"LKA","Sri Lanka","Southern Asia","CAPTURE","Crustaceans","Q_tlw",424216,NA,NA,"yes"
"LKA","Sri Lanka","Southern Asia","CAPTURE","Fish","Q_tlw",10064982.915,NA,NA,"yes"
"LKA","Sri Lanka","Southern Asia","CAPTURE","Mammals","Q_no_1",0,NA,NA,"yes"
"LKA","Sri Lanka","Southern Asia","CAPTURE","Molluscs","Q_tlw",128590.357,NA,NA,"yes"
"LKA","Sri Lanka","Southern Asia","FRESHWATER","Crustaceans","Q_tlw",1529,NA,NA,"yes"
"LKA","Sri Lanka","Southern Asia","FRESHWATER","Fish","Q_tlw",325698.19,NA,NA,"yes"
"LKA","Sri Lanka","Southern Asia","MARINE","Aquatic invertebrates","Q_tlw",2052.36,NA,NA,"yes"
"LKA","Sri Lanka","Southern Asia","MARINE","Fish","Q_tlw",1890.78,NA,NA,"yes"
"LKA","Sri Lanka","Southern Asia","BRACKISHWATER","Aquatic plants","Q_tlw",1.25,"Other aquatic plants and animals","Red seaweeds","no"
"LKA","Sri Lanka","Southern Asia","BRACKISHWATER","Aquatic plants","Q_tlw",22.5,"Other aquatic plants and animals","Red seaweeds","no"
"LKA","Sri Lanka","Southern Asia","BRACKISHWATER","Aquatic plants","Q_tlw",25,"Other aquatic plants and animals","Red seaweeds","no"
"LKA","Sri Lanka","Southern Asia","BRACKISHWATER","Aquatic plants","Q_tlw",9,"Other aquatic plants and animals","Red seaweeds","no"
"LKA","Sri Lanka","Southern Asia","BRACKISHWATER","Aquatic plants","Q_tlw",4760,"Other aquatic plants and animals","Red seaweeds","no"
"LKA","Sri Lanka","Southern Asia","BRACKISHWATER","Aquatic plants","Q_tlw",199,"Other aquatic plants and animals","Red seaweeds","no"
"LKA","Sri Lanka","Southern Asia","BRACKISHWATER","Aquatic plants","Q_tlw",692,"Other aquatic plants and animals","Red seaweeds","no"
"LKA","Sri Lanka","Southern Asia","BRACKISHWATER","Aquatic plants","Q_tlw",322,"Other aquatic plants and animals","Red seaweeds","no"
"LKA","Sri Lanka","Southern Asia","BRACKISHWATER","Aquatic plants","Q_tlw",246.8,"Other aquatic plants and animals","Red seaweeds","no"
"LKA","Sri Lanka","Southern Asia","BRACKISHWATER","Aquatic plants","Q_tlw",421.7,"Other aquatic plants and animals","Red seaweeds","no"
"LKA","Sri Lanka","Southern Asia","BRACKISHWATER","Aquatic plants","Q_tlw",218,"Other aquatic plants and animals","Red seaweeds","no"
"LKA","Sri Lanka","Southern Asia","BRACKISHWATER","Aquatic plants","Q_tlw",271,"Other aquatic plants and animals","Red seaweeds","no"
"LKA","Sri Lanka","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LKA","Sri Lanka","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LKA","Sri Lanka","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LKA","Sri Lanka","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LKA","Sri Lanka","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LKA","Sri Lanka","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LKA","Sri Lanka","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LKA","Sri Lanka","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
