"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",11,NA,NA,"yes"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",45042,NA,NA,"yes"
"LVA","Latvia","Northern Europe","CAPTURE","Fish","Q_tlw",3625566.71,NA,NA,"yes"
"LVA","Latvia","Northern Europe","CAPTURE","Molluscs","Q_tlw",27754,NA,NA,"yes"
"LVA","Latvia","Northern Europe","FRESHWATER","Crustaceans","Q_tlw",2.708,NA,NA,"yes"
"LVA","Latvia","Northern Europe","FRESHWATER","Fish","Q_tlw",18401.749,NA,NA,"yes"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",10,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",1,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",0,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",0,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",0,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",0,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",0,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",0,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",0,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",0,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",0,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",0,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",0,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",0,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",0,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",0,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",0,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",0,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",0,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",0,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",0,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",0,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",0,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",0,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",0,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",0,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Aquatic plants","Q_tlw",0,"Other aquatic plants and animals","Red seaweeds","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",229,"Crustaceans","Crabs, sea-spiders","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",3830,"Crustaceans","Crabs, sea-spiders","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",5237,"Crustaceans","Crabs, sea-spiders","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"LVA","Latvia","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
