"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"MNP","Northern Mariana Islands","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",307.05,NA,NA,"yes"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,NA,NA,"yes"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Aquatic invertebrates","Q_tlw",6.001,NA,NA,"yes"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",28.239,NA,NA,"yes"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Fish","Q_tlw",5613.191,NA,NA,"yes"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Molluscs","Q_tlw",10.968,NA,NA,"yes"
"MNP","Northern Mariana Islands","Micronesia","FRESHWATER","Fish","Q_tlw",227.06,NA,NA,"yes"
"MNP","Northern Mariana Islands","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",5,"Crustaceans","Shrimps, prawns","no"
"MNP","Northern Mariana Islands","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",10,"Crustaceans","Shrimps, prawns","no"
"MNP","Northern Mariana Islands","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",15,"Crustaceans","Shrimps, prawns","no"
"MNP","Northern Mariana Islands","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",19.05,"Crustaceans","Shrimps, prawns","no"
"MNP","Northern Mariana Islands","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",20,"Crustaceans","Shrimps, prawns","no"
"MNP","Northern Mariana Islands","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",20,"Crustaceans","Shrimps, prawns","no"
"MNP","Northern Mariana Islands","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",20,"Crustaceans","Shrimps, prawns","no"
"MNP","Northern Mariana Islands","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",23,"Crustaceans","Shrimps, prawns","no"
"MNP","Northern Mariana Islands","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",23,"Crustaceans","Shrimps, prawns","no"
"MNP","Northern Mariana Islands","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",23,"Crustaceans","Shrimps, prawns","no"
"MNP","Northern Mariana Islands","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",23,"Crustaceans","Shrimps, prawns","no"
"MNP","Northern Mariana Islands","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",23,"Crustaceans","Shrimps, prawns","no"
"MNP","Northern Mariana Islands","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",23,"Crustaceans","Shrimps, prawns","no"
"MNP","Northern Mariana Islands","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",20,"Crustaceans","Shrimps, prawns","no"
"MNP","Northern Mariana Islands","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",20,"Crustaceans","Shrimps, prawns","no"
"MNP","Northern Mariana Islands","Micronesia","BRACKISHWATER","Crustaceans","Q_tlw",20,"Crustaceans","Shrimps, prawns","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Aquatic invertebrates","Q_tlw",1.441,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Aquatic invertebrates","Q_tlw",1.831,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Aquatic invertebrates","Q_tlw",2.625,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Aquatic invertebrates","Q_tlw",0.048,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Aquatic invertebrates","Q_tlw",0.024,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Aquatic invertebrates","Q_tlw",0.021,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Aquatic invertebrates","Q_tlw",0.003,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Aquatic invertebrates","Q_tlw",0.008,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",1,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",1,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",2,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",1,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",2,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",2,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",1,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",2,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",2,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",2,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",1,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",2,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",1,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",1,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",1,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",0.299,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",0.367,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",0.004,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",0.17,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",0.031,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",1.263,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",0.203,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",0.121,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",0.294,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",0.373,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",1.056,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",1.058,"Crustaceans","Lobsters, spiny-rock lobsters","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",1,"Crustaceans","Shrimps, prawns","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"MNP","Northern Mariana Islands","Micronesia","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
