"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Crustaceans","Q_tlw",6423,NA,NA,"yes"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Fish","Q_tlw",6,NA,NA,"yes"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",316204,NA,NA,"yes"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Aquatic invertebrates","Q_tlw",116,NA,NA,"yes"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Crustaceans","Q_tlw",451622,NA,NA,"yes"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Fish","Q_tlw",4549735.652,NA,NA,"yes"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Molluscs","Q_tlw",51327,NA,NA,"yes"
"MOZ","Mozambique","Eastern Africa","FRESHWATER","Fish","Q_tlw",25663,NA,NA,"yes"
"MOZ","Mozambique","Eastern Africa","MARINE","Aquatic plants","Q_tlw",10050,NA,NA,"yes"
"MOZ","Mozambique","Eastern Africa","MARINE","Fish","Q_tlw",356,NA,NA,"yes"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Crustaceans","Q_tlw",600,"Crustaceans","Shrimps, prawns","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Crustaceans","Q_tlw",332,"Crustaceans","Shrimps, prawns","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Crustaceans","Q_tlw",429,"Crustaceans","Shrimps, prawns","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Crustaceans","Q_tlw",1106,"Crustaceans","Shrimps, prawns","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Crustaceans","Q_tlw",995,"Crustaceans","Shrimps, prawns","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Crustaceans","Q_tlw",693,"Crustaceans","Shrimps, prawns","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Crustaceans","Q_tlw",602,"Crustaceans","Shrimps, prawns","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Crustaceans","Q_tlw",374,"Crustaceans","Shrimps, prawns","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Crustaceans","Q_tlw",667,"Crustaceans","Shrimps, prawns","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Crustaceans","Q_tlw",506,"Crustaceans","Shrimps, prawns","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Crustaceans","Q_tlw",39,"Crustaceans","Shrimps, prawns","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Crustaceans","Q_tlw",10,"Crustaceans","Shrimps, prawns","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Crustaceans","Q_tlw",5,"Crustaceans","Shrimps, prawns","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Crustaceans","Q_tlw",10,"Crustaceans","Shrimps, prawns","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Crustaceans","Q_tlw",15,"Crustaceans","Shrimps, prawns","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Crustaceans","Q_tlw",20,"Crustaceans","Shrimps, prawns","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Crustaceans","Q_tlw",20,"Crustaceans","Shrimps, prawns","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Fish","Q_tlw",4,"Fish","Tilapias and other cichlids","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Fish","Q_tlw",2,"Fish","Tilapias and other cichlids","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Tilapias and other cichlids","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Tilapias and other cichlids","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Tilapias and other cichlids","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Tilapias and other cichlids","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Tilapias and other cichlids","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Tilapias and other cichlids","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Tilapias and other cichlids","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Tilapias and other cichlids","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Tilapias and other cichlids","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Tilapias and other cichlids","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Tilapias and other cichlids","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Tilapias and other cichlids","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Tilapias and other cichlids","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Tilapias and other cichlids","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Tilapias and other cichlids","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Tilapias and other cichlids","no"
"MOZ","Mozambique","Eastern Africa","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Tilapias and other cichlids","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",2727,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",3164,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",1042,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",3021,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",523,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",1430,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",810,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",585,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",718,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",477,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",7322,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",5130,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",1323,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",2021,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",179,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",566,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",3449,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",17058,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",7234,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",21977,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",10781,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",11161,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",28854,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",83868,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",38868,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",59966,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",1950,"Not classified","Crocodiles and alligators","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"MOZ","Mozambique","Eastern Africa","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
