"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",27071.532,NA,NA,"yes"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic plants","Q_tlw",55719.617,NA,NA,"yes"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Crustaceans","Q_tlw",134936.99,NA,NA,"yes"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Fish","Q_tlw",13065963.133,NA,NA,"yes"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Mammals","Q_no_1",4707,NA,NA,"yes"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Molluscs","Q_tlw",1530280.916,NA,NA,"yes"
"NZL","New Zealand","Australia and New Zealand","FRESHWATER","Fish","Q_tlw",21810,NA,NA,"yes"
"NZL","New Zealand","Australia and New Zealand","MARINE","Fish","Q_tlw",274254,NA,NA,"yes"
"NZL","New Zealand","Australia and New Zealand","MARINE","Molluscs","Q_tlw",2646390.35,NA,NA,"yes"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Horseshoe crabs and other arachnoids","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Horseshoe crabs and other arachnoids","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Horseshoe crabs and other arachnoids","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Horseshoe crabs and other arachnoids","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",1,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",2,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",10,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0.001,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0.002,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0.017,"Other aquatic invertebrates","Miscellaneous aquatic invertebrates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0.008,"Other aquatic invertebrates","Sea-squirts and other tunicates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic invertebrates","Sea-squirts and other tunicates","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",869,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",848,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",944,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",817,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",282,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",627,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",845,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",645,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",718,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",864,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",778,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",601,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",563,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",879,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",822,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",826,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",794,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",762,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",726,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",778,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",921.027,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",914.034,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",953.269,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",955.014,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",949.744,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",1051.168,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",972.234,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",1008.716,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",1038.233,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",1089.099,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",1019.607,"Other aquatic invertebrates","Sea-urchins and other echinoderms","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic plants and animals","Corals","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic plants and animals","Corals","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic plants and animals","Corals","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic plants and animals","Corals","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic plants and animals","Corals","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic plants and animals","Corals","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic plants and animals","Corals","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic plants and animals","Corals","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic plants and animals","Corals","no"
"NZL","New Zealand","Australia and New Zealand","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic plants and animals","Corals","no"
