"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",466973.532,NA,NA,"yes"
"PER","Peru","South America","BRACKISHWATER","Fish","Q_tlw",93.535,NA,NA,"yes"
"PER","Peru","South America","CAPTURE","Amphibians, Reptiles","Q_tlw",111,NA,NA,"yes"
"PER","Peru","South America","CAPTURE","Aquatic invertebrates","Q_tlw",42034.389,NA,NA,"yes"
"PER","Peru","South America","CAPTURE","Aquatic plants","Q_tlw",440383.18799999997,NA,NA,"yes"
"PER","Peru","South America","CAPTURE","Crustaceans","Q_tlw",667582.774,NA,NA,"yes"
"PER","Peru","South America","CAPTURE","Fish","Q_tlw",206602409.197,NA,NA,"yes"
"PER","Peru","South America","CAPTURE","Mammals","Q_no_1",11718,NA,NA,"yes"
"PER","Peru","South America","CAPTURE","Molluscs","Q_tlw",10387102.571,NA,NA,"yes"
"PER","Peru","South America","FRESHWATER","Crustaceans","Q_tlw",904.72,NA,NA,"yes"
"PER","Peru","South America","FRESHWATER","Fish","Q_tlw",712574.885,NA,NA,"yes"
"PER","Peru","South America","MARINE","Aquatic plants","Q_tlw",757.45,NA,NA,"yes"
"PER","Peru","South America","MARINE","Crustaceans","Q_tlw",7,NA,NA,"yes"
"PER","Peru","South America","MARINE","Fish","Q_tlw",15,NA,NA,"yes"
"PER","Peru","South America","MARINE","Molluscs","Q_tlw",639269.29,NA,NA,"yes"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",3771,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",3109,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",3949,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",4585,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",5258,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",6080,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",3462,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",4312,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",614,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",731,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",2593,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",3328,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",5073,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",8324,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",9257,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",11657,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",13314,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",13425,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",13598,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",16379,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",17800.8,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",17883,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",21483.7,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",22183.3,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",20440.55,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",27491.66,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",39153,"Crustaceans","Shrimps, prawns","no"
"PER","Peru","South America","BRACKISHWATER","Crustaceans","Q_tlw",50819.6,"Crustaceans","Shrimps, prawns","no"
