"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"QAT","Qatar","Western Asia","BRACKISHWATER","Crustaceans","Q_tlw",73.898,NA,NA,"yes"
"QAT","Qatar","Western Asia","BRACKISHWATER","Fish","Q_tlw",48.28,NA,NA,"yes"
"QAT","Qatar","Western Asia","CAPTURE","Crustaceans","Q_tlw",6433.3,NA,NA,"yes"
"QAT","Qatar","Western Asia","CAPTURE","Fish","Q_tlw",351240.6,NA,NA,"yes"
"QAT","Qatar","Western Asia","CAPTURE","Molluscs","Q_tlw",1998.7,NA,NA,"yes"
"QAT","Qatar","Western Asia","FRESHWATER","Fish","Q_tlw",528.367,NA,NA,"yes"
"QAT","Qatar","Western Asia","MARINE","Fish","Q_tlw",25,NA,NA,"yes"
"QAT","Qatar","Western Asia","BRACKISHWATER","Crustaceans","Q_tlw",0.8,"Crustaceans","Shrimps, prawns","no"
"QAT","Qatar","Western Asia","BRACKISHWATER","Crustaceans","Q_tlw",36,"Crustaceans","Shrimps, prawns","no"
"QAT","Qatar","Western Asia","BRACKISHWATER","Crustaceans","Q_tlw",37.098,"Crustaceans","Shrimps, prawns","no"
"QAT","Qatar","Western Asia","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Miscellaneous coastal fishes","no"
"QAT","Qatar","Western Asia","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Miscellaneous coastal fishes","no"
"QAT","Qatar","Western Asia","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Miscellaneous coastal fishes","no"
"QAT","Qatar","Western Asia","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Miscellaneous coastal fishes","no"
"QAT","Qatar","Western Asia","BRACKISHWATER","Fish","Q_tlw",1,"Fish","Miscellaneous coastal fishes","no"
"QAT","Qatar","Western Asia","BRACKISHWATER","Fish","Q_tlw",2,"Fish","Miscellaneous coastal fishes","no"
"QAT","Qatar","Western Asia","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Miscellaneous coastal fishes","no"
"QAT","Qatar","Western Asia","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Miscellaneous coastal fishes","no"
"QAT","Qatar","Western Asia","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Miscellaneous coastal fishes","no"
"QAT","Qatar","Western Asia","BRACKISHWATER","Fish","Q_tlw",1,"Fish","Miscellaneous coastal fishes","no"
"QAT","Qatar","Western Asia","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Miscellaneous coastal fishes","no"
"QAT","Qatar","Western Asia","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Miscellaneous coastal fishes","no"
"QAT","Qatar","Western Asia","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Miscellaneous coastal fishes","no"
"QAT","Qatar","Western Asia","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Miscellaneous coastal fishes","no"
"QAT","Qatar","Western Asia","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Miscellaneous coastal fishes","no"
"QAT","Qatar","Western Asia","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Miscellaneous coastal fishes","no"
"QAT","Qatar","Western Asia","BRACKISHWATER","Fish","Q_tlw",0,"Fish","Miscellaneous coastal fishes","no"
