"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"SEN","Senegal","Western Africa","BRACKISHWATER","Aquatic plants","Q_tlw",1,NA,NA,"yes"
"SEN","Senegal","Western Africa","BRACKISHWATER","Crustaceans","Q_tlw",163,NA,NA,"yes"
"SEN","Senegal","Western Africa","BRACKISHWATER","Fish","Q_tlw",1789.2,NA,NA,"yes"
"SEN","Senegal","Western Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",17,NA,NA,"yes"
"SEN","Senegal","Western Africa","CAPTURE","Aquatic plants","Q_tlw",4136,NA,NA,"yes"
"SEN","Senegal","Western Africa","CAPTURE","Crustaceans","Q_tlw",165219.576,NA,NA,"yes"
"SEN","Senegal","Western Africa","CAPTURE","Fish","Q_tlw",12862373.134,NA,NA,"yes"
"SEN","Senegal","Western Africa","CAPTURE","Molluscs","Q_tlw",638810.71,NA,NA,"yes"
"SEN","Senegal","Western Africa","FRESHWATER","Aquatic plants","Q_tlw",25.065,NA,NA,"yes"
"SEN","Senegal","Western Africa","FRESHWATER","Fish","Q_tlw",5292.2,NA,NA,"yes"
"SEN","Senegal","Western Africa","MARINE","Aquatic plants","Q_tlw",316,NA,NA,"yes"
"SEN","Senegal","Western Africa","MARINE","Molluscs","Q_tlw",6407.53,NA,NA,"yes"
"SEN","Senegal","Western Africa","BRACKISHWATER","Aquatic plants","Q_tlw",1,"Other aquatic plants and animals","Miscellaneous aquatic plants","no"
"SEN","Senegal","Western Africa","BRACKISHWATER","Crustaceans","Q_tlw",6,"Crustaceans","Freshwater crustaceans","no"
"SEN","Senegal","Western Africa","BRACKISHWATER","Crustaceans","Q_tlw",10,"Crustaceans","Freshwater crustaceans","no"
"SEN","Senegal","Western Africa","BRACKISHWATER","Crustaceans","Q_tlw",11,"Crustaceans","Freshwater crustaceans","no"
"SEN","Senegal","Western Africa","BRACKISHWATER","Crustaceans","Q_tlw",20,"Crustaceans","Freshwater crustaceans","no"
"SEN","Senegal","Western Africa","BRACKISHWATER","Crustaceans","Q_tlw",25,"Crustaceans","Freshwater crustaceans","no"
"SEN","Senegal","Western Africa","BRACKISHWATER","Crustaceans","Q_tlw",21,"Crustaceans","Freshwater crustaceans","no"
"SEN","Senegal","Western Africa","BRACKISHWATER","Crustaceans","Q_tlw",20,"Crustaceans","Freshwater crustaceans","no"
"SEN","Senegal","Western Africa","BRACKISHWATER","Crustaceans","Q_tlw",50,"Crustaceans","Freshwater crustaceans","no"
"SEN","Senegal","Western Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"SEN","Senegal","Western Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"SEN","Senegal","Western Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"SEN","Senegal","Western Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"SEN","Senegal","Western Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
"SEN","Senegal","Western Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Freshwater crustaceans","no"
