"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"SGP","Singapore","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",1638.787,NA,NA,"yes"
"SGP","Singapore","South-eastern Asia","BRACKISHWATER","Fish","Q_tlw",1415.575,NA,NA,"yes"
"SGP","Singapore","South-eastern Asia","CAPTURE","Amphibians, Reptiles","Q_no_1",43936,NA,NA,"yes"
"SGP","Singapore","South-eastern Asia","CAPTURE","Crustaceans","Q_tlw",15911.796,NA,NA,"yes"
"SGP","Singapore","South-eastern Asia","CAPTURE","Fish","Q_tlw",92062.586,NA,NA,"yes"
"SGP","Singapore","South-eastern Asia","CAPTURE","Molluscs","Q_tlw",8980.381,NA,NA,"yes"
"SGP","Singapore","South-eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",5301.438,NA,NA,"yes"
"SGP","Singapore","South-eastern Asia","FRESHWATER","Crustaceans","Q_tlw",35.9,NA,NA,"yes"
"SGP","Singapore","South-eastern Asia","FRESHWATER","Fish","Q_tlw",11774.06,NA,NA,"yes"
"SGP","Singapore","South-eastern Asia","MARINE","Crustaceans","Q_tlw",4751.941,NA,NA,"yes"
"SGP","Singapore","South-eastern Asia","MARINE","Fish","Q_tlw",71436.274,NA,NA,"yes"
"SGP","Singapore","South-eastern Asia","MARINE","Molluscs","Q_tlw",48899.5,NA,NA,"yes"
"SGP","Singapore","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"SGP","Singapore","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"SGP","Singapore","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"SGP","Singapore","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"SGP","Singapore","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"SGP","Singapore","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"SGP","Singapore","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"SGP","Singapore","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"SGP","Singapore","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"SGP","Singapore","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"SGP","Singapore","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
"SGP","Singapore","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Crabs, sea-spiders","no"
