"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"SLB","Solomon Islands","Melanesia","BRACKISHWATER","Crustaceans","Q_tlw",128,NA,NA,"yes"
"SLB","Solomon Islands","Melanesia","BRACKISHWATER","Fish","Q_tlw",21,NA,NA,"yes"
"SLB","Solomon Islands","Melanesia","CAPTURE","Amphibians, Reptiles","Q_tlw",1,NA,NA,"yes"
"SLB","Solomon Islands","Melanesia","CAPTURE","Aquatic invertebrates","Q_tlw",13499.971,NA,NA,"yes"
"SLB","Solomon Islands","Melanesia","CAPTURE","Crustaceans","Q_tlw",377,NA,NA,"yes"
"SLB","Solomon Islands","Melanesia","CAPTURE","Fish","Q_tlw",1389572.149,NA,NA,"yes"
"SLB","Solomon Islands","Melanesia","CAPTURE","Molluscs","Q_tlw",3701.337,NA,NA,"yes"
"SLB","Solomon Islands","Melanesia","FRESHWATER","Crustaceans","Q_tlw",0,NA,NA,"yes"
"SLB","Solomon Islands","Melanesia","FRESHWATER","Fish","Q_tlw",42.5,NA,NA,"yes"
"SLB","Solomon Islands","Melanesia","MARINE","Aquatic plants","Q_tlw",125926.64,NA,NA,"yes"
"SLB","Solomon Islands","Melanesia","BRACKISHWATER","Crustaceans","Q_tlw",8,"Crustaceans","Shrimps, prawns","no"
"SLB","Solomon Islands","Melanesia","BRACKISHWATER","Crustaceans","Q_tlw",10,"Crustaceans","Shrimps, prawns","no"
"SLB","Solomon Islands","Melanesia","BRACKISHWATER","Crustaceans","Q_tlw",13,"Crustaceans","Shrimps, prawns","no"
"SLB","Solomon Islands","Melanesia","BRACKISHWATER","Crustaceans","Q_tlw",13,"Crustaceans","Shrimps, prawns","no"
"SLB","Solomon Islands","Melanesia","BRACKISHWATER","Crustaceans","Q_tlw",13,"Crustaceans","Shrimps, prawns","no"
"SLB","Solomon Islands","Melanesia","BRACKISHWATER","Crustaceans","Q_tlw",13,"Crustaceans","Shrimps, prawns","no"
"SLB","Solomon Islands","Melanesia","BRACKISHWATER","Crustaceans","Q_tlw",13,"Crustaceans","Shrimps, prawns","no"
"SLB","Solomon Islands","Melanesia","BRACKISHWATER","Crustaceans","Q_tlw",13,"Crustaceans","Shrimps, prawns","no"
"SLB","Solomon Islands","Melanesia","BRACKISHWATER","Crustaceans","Q_tlw",15,"Crustaceans","Shrimps, prawns","no"
"SLB","Solomon Islands","Melanesia","BRACKISHWATER","Crustaceans","Q_tlw",15,"Crustaceans","Shrimps, prawns","no"
"SLB","Solomon Islands","Melanesia","BRACKISHWATER","Crustaceans","Q_tlw",1,"Crustaceans","Shrimps, prawns","no"
"SLB","Solomon Islands","Melanesia","BRACKISHWATER","Crustaceans","Q_tlw",1,"Crustaceans","Shrimps, prawns","no"
"SLB","Solomon Islands","Melanesia","BRACKISHWATER","Fish","Q_tlw",3,"Fish","Miscellaneous diadromous fishes","no"
"SLB","Solomon Islands","Melanesia","BRACKISHWATER","Fish","Q_tlw",3,"Fish","Miscellaneous diadromous fishes","no"
"SLB","Solomon Islands","Melanesia","BRACKISHWATER","Fish","Q_tlw",3,"Fish","Miscellaneous diadromous fishes","no"
"SLB","Solomon Islands","Melanesia","BRACKISHWATER","Fish","Q_tlw",3,"Fish","Miscellaneous diadromous fishes","no"
"SLB","Solomon Islands","Melanesia","BRACKISHWATER","Fish","Q_tlw",3,"Fish","Miscellaneous diadromous fishes","no"
"SLB","Solomon Islands","Melanesia","BRACKISHWATER","Fish","Q_tlw",3,"Fish","Miscellaneous diadromous fishes","no"
"SLB","Solomon Islands","Melanesia","BRACKISHWATER","Fish","Q_tlw",3,"Fish","Miscellaneous diadromous fishes","no"
"SLB","Solomon Islands","Melanesia","CAPTURE","Amphibians, Reptiles","Q_tlw",1,"Not classified","Turtles","no"
"SLB","Solomon Islands","Melanesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"SLB","Solomon Islands","Melanesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"SLB","Solomon Islands","Melanesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"SLB","Solomon Islands","Melanesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"SLB","Solomon Islands","Melanesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"SLB","Solomon Islands","Melanesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"SLB","Solomon Islands","Melanesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"SLB","Solomon Islands","Melanesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"SLB","Solomon Islands","Melanesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"SLB","Solomon Islands","Melanesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"SLB","Solomon Islands","Melanesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"SLB","Solomon Islands","Melanesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"SLB","Solomon Islands","Melanesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"SLB","Solomon Islands","Melanesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"SLB","Solomon Islands","Melanesia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
