"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",149,NA,NA,"yes"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Fish","Q_tlw",167202.522,NA,NA,"yes"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Molluscs","Q_tlw",1061.956,NA,NA,"yes"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",3,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",4,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",6,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",6,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",4,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",5,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",7,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",7,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",7,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",7,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",8,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",8,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",8,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",8,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",8,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",8,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",8,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",8,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",8,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",6,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",5,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",5,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",5,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","Miscellaneous marine crustaceans","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Fish","Q_tlw",14,"Fish","Herrings, sardines, anchovies","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Fish","Q_tlw",17,"Fish","Herrings, sardines, anchovies","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Fish","Q_tlw",25,"Fish","Herrings, sardines, anchovies","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Fish","Q_tlw",26,"Fish","Herrings, sardines, anchovies","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Fish","Q_tlw",20,"Fish","Herrings, sardines, anchovies","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Fish","Q_tlw",20,"Fish","Herrings, sardines, anchovies","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Fish","Q_tlw",30,"Fish","Herrings, sardines, anchovies","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Fish","Q_tlw",30,"Fish","Herrings, sardines, anchovies","no"
"STP","Sao Tome and Principe","Middle Africa","CAPTURE","Fish","Q_tlw",30,"Fish","Herrings, sardines, anchovies","no"
