"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",117281.802,NA,NA,"yes"
"SWE","Sweden","Northern Europe","CAPTURE","Fish","Q_tlw",7979439.419,NA,NA,"yes"
"SWE","Sweden","Northern Europe","CAPTURE","Mammals","Q_no_1",250,NA,NA,"yes"
"SWE","Sweden","Northern Europe","CAPTURE","Molluscs","Q_tlw",1945.989,NA,NA,"yes"
"SWE","Sweden","Northern Europe","FRESHWATER","Crustaceans","Q_tlw",135.8,NA,NA,"yes"
"SWE","Sweden","Northern Europe","FRESHWATER","Fish","Q_tlw",175405,NA,NA,"yes"
"SWE","Sweden","Northern Europe","MARINE","Fish","Q_tlw",63223,NA,NA,"yes"
"SWE","Sweden","Northern Europe","MARINE","Molluscs","Q_tlw",50369,NA,NA,"yes"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",97,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",95,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",161,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",105,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",87,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",79,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",93,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",122,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",128,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",133,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",146,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",158,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",170,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",165,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",135,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",153,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",150,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",178,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",213,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",204,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",204,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",223,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",212,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",224,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",208,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",251,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",271,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",275,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",274.907,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",464.025,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",416.639,"Crustaceans","Crabs, sea-spiders","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",4,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",4,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",5,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",5,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",6,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",9,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",6,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",8,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",17,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",37,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",49,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",43,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",59,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",95,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",124,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",134,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",175,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",168,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",177,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",184,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",161,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",1053,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",747,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",907,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",839,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",656,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",1644,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",678,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",1994,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",1184,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",1766,"Crustaceans","Freshwater crustaceans","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",1,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",1,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",0,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",1.4140000000000001,"Crustaceans","King crabs, squat-lobsters","no"
"SWE","Sweden","Northern Europe","CAPTURE","Crustaceans","Q_tlw",1.08,"Crustaceans","King crabs, squat-lobsters","no"
