"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"SYR","Syrian Arab Republic","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",0,NA,NA,"yes"
"SYR","Syrian Arab Republic","Western Asia","CAPTURE","Crustaceans","Q_tlw",3002,NA,NA,"yes"
"SYR","Syrian Arab Republic","Western Asia","CAPTURE","Fish","Q_tlw",183440,NA,NA,"yes"
"SYR","Syrian Arab Republic","Western Asia","CAPTURE","Molluscs","Q_tlw",1682,NA,NA,"yes"
"SYR","Syrian Arab Republic","Western Asia","FRESHWATER","Fish","Q_tlw",169568,NA,NA,"yes"
"SYR","Syrian Arab Republic","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic plants and animals","Sponges","no"
"SYR","Syrian Arab Republic","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic plants and animals","Sponges","no"
"SYR","Syrian Arab Republic","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic plants and animals","Sponges","no"
"SYR","Syrian Arab Republic","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic plants and animals","Sponges","no"
"SYR","Syrian Arab Republic","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic plants and animals","Sponges","no"
"SYR","Syrian Arab Republic","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic plants and animals","Sponges","no"
"SYR","Syrian Arab Republic","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic plants and animals","Sponges","no"
"SYR","Syrian Arab Republic","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic plants and animals","Sponges","no"
"SYR","Syrian Arab Republic","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic plants and animals","Sponges","no"
"SYR","Syrian Arab Republic","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic plants and animals","Sponges","no"
"SYR","Syrian Arab Republic","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic plants and animals","Sponges","no"
"SYR","Syrian Arab Republic","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic plants and animals","Sponges","no"
"SYR","Syrian Arab Republic","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic plants and animals","Sponges","no"
"SYR","Syrian Arab Republic","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic plants and animals","Sponges","no"
"SYR","Syrian Arab Republic","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic plants and animals","Sponges","no"
"SYR","Syrian Arab Republic","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",0,"Other aquatic plants and animals","Sponges","no"
