"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",11310331.67,NA,NA,"yes"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Fish","Q_tlw",591012,NA,NA,"yes"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Molluscs","Q_tlw",145,NA,NA,"yes"
"THA","Thailand","South-eastern Asia","CAPTURE","Amphibians, Reptiles","Q_no_1",570175,NA,NA,"yes"
"THA","Thailand","South-eastern Asia","CAPTURE","Aquatic invertebrates","Q_tlw",1878834.907,NA,NA,"yes"
"THA","Thailand","South-eastern Asia","CAPTURE","Aquatic plants","Q_tlw",0,NA,NA,"yes"
"THA","Thailand","South-eastern Asia","CAPTURE","Crustaceans","Q_tlw",3668156.33,NA,NA,"yes"
"THA","Thailand","South-eastern Asia","CAPTURE","Fish","Q_tlw",59452232.201,NA,NA,"yes"
"THA","Thailand","South-eastern Asia","CAPTURE","Molluscs","Q_tlw",5436863.715,NA,NA,"yes"
"THA","Thailand","South-eastern Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",88241,NA,NA,"yes"
"THA","Thailand","South-eastern Asia","FRESHWATER","Crustaceans","Q_tlw",657858.9,NA,NA,"yes"
"THA","Thailand","South-eastern Asia","FRESHWATER","Fish","Q_tlw",10840788.53,NA,NA,"yes"
"THA","Thailand","South-eastern Asia","MARINE","Fish","Q_tlw",39,NA,NA,"yes"
"THA","Thailand","South-eastern Asia","MARINE","Molluscs","Q_tlw",5726508.86,NA,NA,"yes"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",39,"Crustaceans","Crabs, sea-spiders","no"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",25,"Crustaceans","Crabs, sea-spiders","no"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",25,"Crustaceans","Crabs, sea-spiders","no"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",45,"Crustaceans","Crabs, sea-spiders","no"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",132,"Crustaceans","Crabs, sea-spiders","no"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",115,"Crustaceans","Crabs, sea-spiders","no"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",19,"Crustaceans","Crabs, sea-spiders","no"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",9,"Crustaceans","Crabs, sea-spiders","no"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",9,"Crustaceans","Crabs, sea-spiders","no"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",5,"Crustaceans","Crabs, sea-spiders","no"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",10,"Crustaceans","Crabs, sea-spiders","no"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",10,"Crustaceans","Crabs, sea-spiders","no"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",23,"Crustaceans","Crabs, sea-spiders","no"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",15,"Crustaceans","Crabs, sea-spiders","no"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",11,"Crustaceans","Crabs, sea-spiders","no"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",23,"Crustaceans","Crabs, sea-spiders","no"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",41,"Crustaceans","Crabs, sea-spiders","no"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",45,"Crustaceans","Crabs, sea-spiders","no"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",600,"Crustaceans","Crabs, sea-spiders","no"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",700,"Crustaceans","Crabs, sea-spiders","no"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",700,"Crustaceans","Crabs, sea-spiders","no"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",800,"Crustaceans","Crabs, sea-spiders","no"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",800,"Crustaceans","Crabs, sea-spiders","no"
"THA","Thailand","South-eastern Asia","BRACKISHWATER","Crustaceans","Q_tlw",1000,"Crustaceans","Crabs, sea-spiders","no"
