"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"TUN","Tunisia","Northern Africa","BRACKISHWATER","Crustaceans","Q_tlw",6.4,NA,NA,"yes"
"TUN","Tunisia","Northern Africa","BRACKISHWATER","Fish","Q_tlw",18777.031,NA,NA,"yes"
"TUN","Tunisia","Northern Africa","BRACKISHWATER","Molluscs","Q_tlw",3866,NA,NA,"yes"
"TUN","Tunisia","Northern Africa","CAPTURE","Aquatic invertebrates","Q_tlw",789.162,NA,NA,"yes"
"TUN","Tunisia","Northern Africa","CAPTURE","Crustaceans","Q_tlw",178866,NA,NA,"yes"
"TUN","Tunisia","Northern Africa","CAPTURE","Fish","Q_tlw",2661148.869,NA,NA,"yes"
"TUN","Tunisia","Northern Africa","CAPTURE","Molluscs","Q_tlw",335912,NA,NA,"yes"
"TUN","Tunisia","Northern Africa","FRESHWATER","Aquatic plants","Q_tlw",514,NA,NA,"yes"
"TUN","Tunisia","Northern Africa","FRESHWATER","Fish","Q_tlw",28148.742,NA,NA,"yes"
"TUN","Tunisia","Northern Africa","MARINE","Aquatic plants","Q_tlw",179,NA,NA,"yes"
"TUN","Tunisia","Northern Africa","MARINE","Crustaceans","Q_tlw",0,NA,NA,"yes"
"TUN","Tunisia","Northern Africa","MARINE","Fish","Q_tlw",200752.569,NA,NA,"yes"
"TUN","Tunisia","Northern Africa","MARINE","Molluscs","Q_tlw",30,NA,NA,"yes"
"TUN","Tunisia","Northern Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUN","Tunisia","Northern Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUN","Tunisia","Northern Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUN","Tunisia","Northern Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUN","Tunisia","Northern Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUN","Tunisia","Northern Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUN","Tunisia","Northern Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUN","Tunisia","Northern Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUN","Tunisia","Northern Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUN","Tunisia","Northern Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUN","Tunisia","Northern Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUN","Tunisia","Northern Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUN","Tunisia","Northern Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUN","Tunisia","Northern Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUN","Tunisia","Northern Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUN","Tunisia","Northern Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUN","Tunisia","Northern Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUN","Tunisia","Northern Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUN","Tunisia","Northern Africa","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
