"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"ZAF","South Africa","Southern Africa","BRACKISHWATER","Aquatic plants","Q_tlw",46094.12,NA,NA,"yes"
"ZAF","South Africa","Southern Africa","BRACKISHWATER","Crustaceans","Q_tlw",1184,NA,NA,"yes"
"ZAF","South Africa","Southern Africa","BRACKISHWATER","Fish","Q_tlw",486.02,NA,NA,"yes"
"ZAF","South Africa","Southern Africa","BRACKISHWATER","Molluscs","Q_tlw",14028.35,NA,NA,"yes"
"ZAF","South Africa","Southern Africa","CAPTURE","Amphibians, Reptiles","Q_no_1",1357540,NA,NA,"yes"
"ZAF","South Africa","Southern Africa","CAPTURE","Aquatic invertebrates","Q_tlw",0,NA,NA,"yes"
"ZAF","South Africa","Southern Africa","CAPTURE","Aquatic plants","Q_tlw",375149.04,NA,NA,"yes"
"ZAF","South Africa","Southern Africa","CAPTURE","Crustaceans","Q_tlw",87343.554,NA,NA,"yes"
"ZAF","South Africa","Southern Africa","CAPTURE","Fish","Q_tlw",18408593.608,NA,NA,"yes"
"ZAF","South Africa","Southern Africa","CAPTURE","Mammals","Q_no_1",1070,NA,NA,"yes"
"ZAF","South Africa","Southern Africa","CAPTURE","Molluscs","Q_tlw",242610.49,NA,NA,"yes"
"ZAF","South Africa","Southern Africa","FRESHWATER","Crustaceans","Q_tlw",91.94,NA,NA,"yes"
"ZAF","South Africa","Southern Africa","FRESHWATER","Fish","Q_tlw",47068.48,NA,NA,"yes"
"ZAF","South Africa","Southern Africa","MARINE","Aquatic invertebrates","Q_tlw",30,NA,NA,"yes"
"ZAF","South Africa","Southern Africa","MARINE","Aquatic plants","Q_tlw",1784,NA,NA,"yes"
"ZAF","South Africa","Southern Africa","MARINE","Fish","Q_tlw",75.62,NA,NA,"yes"
"ZAF","South Africa","Southern Africa","MARINE","Molluscs","Q_tlw",72270.42,NA,NA,"yes"
"ZAF","South Africa","Southern Africa","BRACKISHWATER","Aquatic plants","Q_tlw",1000,"Other aquatic plants and animals","Green seaweeds","no"
"ZAF","South Africa","Southern Africa","BRACKISHWATER","Aquatic plants","Q_tlw",2732,"Other aquatic plants and animals","Green seaweeds","no"
"ZAF","South Africa","Southern Africa","BRACKISHWATER","Aquatic plants","Q_tlw",2750,"Other aquatic plants and animals","Green seaweeds","no"
"ZAF","South Africa","Southern Africa","BRACKISHWATER","Aquatic plants","Q_tlw",2900,"Other aquatic plants and animals","Green seaweeds","no"
"ZAF","South Africa","Southern Africa","BRACKISHWATER","Aquatic plants","Q_tlw",2900,"Other aquatic plants and animals","Green seaweeds","no"
"ZAF","South Africa","Southern Africa","BRACKISHWATER","Aquatic plants","Q_tlw",2900,"Other aquatic plants and animals","Green seaweeds","no"
"ZAF","South Africa","Southern Africa","BRACKISHWATER","Aquatic plants","Q_tlw",1534,"Other aquatic plants and animals","Green seaweeds","no"
"ZAF","South Africa","Southern Africa","BRACKISHWATER","Aquatic plants","Q_tlw",1500,"Other aquatic plants and animals","Green seaweeds","no"
"ZAF","South Africa","Southern Africa","BRACKISHWATER","Aquatic plants","Q_tlw",1565,"Other aquatic plants and animals","Green seaweeds","no"
"ZAF","South Africa","Southern Africa","BRACKISHWATER","Aquatic plants","Q_tlw",2000,"Other aquatic plants and animals","Green seaweeds","no"
"ZAF","South Africa","Southern Africa","BRACKISHWATER","Aquatic plants","Q_tlw",2000,"Other aquatic plants and animals","Green seaweeds","no"
"ZAF","South Africa","Southern Africa","BRACKISHWATER","Aquatic plants","Q_tlw",1800,"Other aquatic plants and animals","Green seaweeds","no"
"ZAF","South Africa","Southern Africa","BRACKISHWATER","Aquatic plants","Q_tlw",2000,"Other aquatic plants and animals","Green seaweeds","no"
"ZAF","South Africa","Southern Africa","BRACKISHWATER","Aquatic plants","Q_tlw",1300,"Other aquatic plants and animals","Green seaweeds","no"
"ZAF","South Africa","Southern Africa","BRACKISHWATER","Aquatic plants","Q_tlw",2500,"Other aquatic plants and animals","Green seaweeds","no"
"ZAF","South Africa","Southern Africa","BRACKISHWATER","Aquatic plants","Q_tlw",862,"Other aquatic plants and animals","Green seaweeds","no"
"ZAF","South Africa","Southern Africa","BRACKISHWATER","Aquatic plants","Q_tlw",1687.07,"Other aquatic plants and animals","Green seaweeds","no"
"ZAF","South Africa","Southern Africa","BRACKISHWATER","Aquatic plants","Q_tlw",2154.54,"Other aquatic plants and animals","Green seaweeds","no"
"ZAF","South Africa","Southern Africa","BRACKISHWATER","Aquatic plants","Q_tlw",3715,"Other aquatic plants and animals","Green seaweeds","no"
"ZAF","South Africa","Southern Africa","BRACKISHWATER","Aquatic plants","Q_tlw",2595.03,"Other aquatic plants and animals","Green seaweeds","no"
"ZAF","South Africa","Southern Africa","BRACKISHWATER","Aquatic plants","Q_tlw",3699.48,"Other aquatic plants and animals","Green seaweeds","no"
"ZAF","South Africa","Southern Africa","BRACKISHWATER","Crustaceans","Q_tlw",39,"Crustaceans","Shrimps, prawns","no"
