"ISO3","Area","UN Region","EBRD Region","Element","Item","Unit","Group","sector","agrifood","Year","value"
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",1992,1.35
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",1993,1.43
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",1994,1.49
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",1995,1.56
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",1996,1.54
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",1997,1.52
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",1998,1.47
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",1999,1.4
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2000,1.37
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2001,1.39
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2002,1.35
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2003,1.28
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2004,1.3
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2005,1.28
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2006,1.26
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2007,1.25
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2008,1.26
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2009,1.22
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2010,1.21
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2011,1.19
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2012,1.19
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2013,1.2
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2014,0.59
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2015,0.6
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2016,0.59
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2017,0.63
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2018,0.63
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2019,0.74
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2020,0.66
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2021,0.56
"FJI","Fiji","Melanesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2022,0.59
"FJI","Fiji","Melanesia",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",1992,3.76
"FJI","Fiji","Melanesia",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",1993,3.9
"FJI","Fiji","Melanesia",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",1994,3.8
"FJI","Fiji","Melanesia",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",1995,3.87
"FJI","Fiji","Melanesia",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",1996,3.9
"FJI","Fiji","Melanesia",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",1997,4.06
"FJI","Fiji","Melanesia",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",1998,4.92
"FJI","Fiji","Melanesia",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",1999,3.8
"FJI","Fiji","Melanesia",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2000,3.75
"FJI","Fiji","Melanesia",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2001,4.21
"FJI","Fiji","Melanesia",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2002,3.93
"FJI","Fiji","Melanesia",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2003,4.16
