"ISO3","Area","UN Region","EBRD Region","Element","Item","Unit","Group","sector","agrifood","Year","value"
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",1992,9.13
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",1993,9.18
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",1994,9.2
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",1995,8.99
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",1996,9.2
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",1997,9.03
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",1998,8.67
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",1999,8.33
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2000,8
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2001,7.55
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2002,7.62
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2003,7.69
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2004,7.37
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2005,7.33
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2006,7.01
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2007,7.23
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2008,6.83
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2009,7.12
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2010,6.85
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2011,6.74
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2012,6.64
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2013,7.02
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2014,6.88
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2015,6.96
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2016,6.27
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2017,6.14
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2018,6.02
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2019,5.65
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2020,5.33
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2021,5.46
"ISL","Iceland","Northern Europe",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2022,5.38
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",1992,18.74
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",1993,19.9
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",1994,19.6
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",1995,19.46
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",1996,20.41
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",1997,19.97
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",1998,18.8
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",1999,17.46
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2000,16.24
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2001,15.66
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2002,15.71
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2003,15.83
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2004,15.22
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2005,15.46
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2006,14.7
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2007,14.78
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2008,13.96
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2009,14.66
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2010,13.97
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2011,13.57
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2012,12.97
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2013,14.06
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2014,13.56
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2015,13.17
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2016,11.53
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2017,11.19
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2018,11.31
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2019,10.93
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2020,10.85
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2021,11.2
"ISL","Iceland","Northern Europe",NA,"Emissions per value of agricultural production","Farm gate","kg/Int$","Agrifood systems","no","yes",2022,11.29
"ISL","Iceland","Northern Europe",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",1992,1.26
"ISL","Iceland","Northern Europe",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",1993,1.28
"ISL","Iceland","Northern Europe",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",1994,1.29
"ISL","Iceland","Northern Europe",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",1995,1.27
"ISL","Iceland","Northern Europe",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",1996,1.3
"ISL","Iceland","Northern Europe",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",1997,1.29
"ISL","Iceland","Northern Europe",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",1998,1.26
"ISL","Iceland","Northern Europe",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",1999,1.22
"ISL","Iceland","Northern Europe",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",2000,1.19
"ISL","Iceland","Northern Europe",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",2001,1.14
"ISL","Iceland","Northern Europe",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",2002,1.16
"ISL","Iceland","Northern Europe",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",2003,1.18
"ISL","Iceland","Northern Europe",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",2004,1.14
"ISL","Iceland","Northern Europe",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",2005,1.16
"ISL","Iceland","Northern Europe",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",2006,1.13
"ISL","Iceland","Northern Europe",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",2007,1.2
"ISL","Iceland","Northern Europe",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",2008,1.16
"ISL","Iceland","Northern Europe",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",2009,1.21
"ISL","Iceland","Northern Europe",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",2010,1.16
"ISL","Iceland","Northern Europe",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",2011,1.15
