"ISO3","Area","Item","Group","sector","agrifood","Year","Total","CO2","N2O","CH4","F-gases"
"AFG","Afghanistan","Energy","Not agri-food","yes","no",1992,1649591,1440598.9,13574.400000000001,195417.69999999998,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",1993,1648808.0999999999,1444091.6999999997,13627.1,191089.30000000002,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",1994,1626490.7,1407416.2,13648.099999999999,205426.4,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",1995,1641647.5,1374420.6,17305.399999999998,249921.5,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",1996,1626764.4,1326735,19156,280873.4,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",1997,1574805,1260717.7,19990.5,294096.8,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",1998,1562988.2,1235044.5,20240.5,307703.19999999995,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",1999,1390071.8,1048038.8,20940,321093,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",2000,1409390.5999999999,1040704.0999999999,21621.7,347064.8,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",2001,1429886.7,1066681.5,21738.600000000002,341466.60000000003,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",2002,1738553.1,1346149.8,21689.800000000003,370713.5,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",2003,1934904.9,1554211.0999999999,23271.7,357422.1,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",2004,1605116.5,1228561.5,23229.600000000002,353325.4,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",2005,2295386.7,1885043.8000000003,25565.8,384777.10000000003,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",2006,2564100.9,2152755.6,28023.800000000003,383321.5,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",2007,3327335.0999999996,2792951.1999999997,33743.1,500640.8,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",2008,4873157.6,4242489.199999999,53902,576766.4,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",2009,7096253.899999999,6389648.199999999,79746.7,626859,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",2010,9267052.2,8373858.399999999,99787.59999999999,793406.2000000001,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",2011,13150211.7,11857739,119972.9,1172499.8,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",2012,11209715.899999999,10036538.099999998,110328.2,1062849.6,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",2013,10457865.5,9248177.8,86491.1,1123196.6,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",2014,10458444.5,9174041.8,77571,1206831.7,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",2015,10992538.1,9783099.1,80835.9,1128603.1,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",2016,10392699.7,9033096.799999999,70254.3,1289348.6,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",2017,11471769.8,9871053.9,72556.2,1528159.7,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",2018,12535500.1,10809427,74999,1651074.1,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",2019,12672215.1,11085007,71714.9,1515493.2,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",2020,12662141.2,11846274,60336.3,755530.9,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",2021,12693891.4,11402339,62011.299999999996,1229541.0999999999,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",2022,13046451,11775494,62464.3,1208492.7,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",2030,NA,NA,NA,NA,NA
"AFG","Afghanistan","Energy","Not agri-food","yes","no",2050,NA,NA,NA,NA,NA
"AFG","Afghanistan","IPPU","Not agri-food","yes","no",1992,204487.1,201616.1,1116.5,0,1754.5
"AFG","Afghanistan","IPPU","Not agri-food","yes","no",1993,182566.5,178529.2,1205.4,0,2831.9
