"ISO3","Area","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"ALB","Albania","Energy","Not agri-food","yes","no",1992,"Total",3026282.2
"ALB","Albania","Energy","Not agri-food","yes","no",1992,"CO2",2455896.6
"ALB","Albania","Energy","Not agri-food","yes","no",1992,"N2O",22403.1
"ALB","Albania","Energy","Not agri-food","yes","no",1992,"CH4",547982.5
"ALB","Albania","Energy","Not agri-food","yes","no",1992,"F-gases",NA
"ALB","Albania","Energy","Not agri-food","yes","no",1993,"Total",2842576.3000000003
"ALB","Albania","Energy","Not agri-food","yes","no",1993,"CO2",2283420.7
"ALB","Albania","Energy","Not agri-food","yes","no",1993,"N2O",21430.800000000003
"ALB","Albania","Energy","Not agri-food","yes","no",1993,"CH4",537724.7999999999
"ALB","Albania","Energy","Not agri-food","yes","no",1993,"F-gases",NA
"ALB","Albania","Energy","Not agri-food","yes","no",1994,"Total",2395186.6
"ALB","Albania","Energy","Not agri-food","yes","no",1994,"CO2",1958706.2000000002
"ALB","Albania","Energy","Not agri-food","yes","no",1994,"N2O",21890.4
"ALB","Albania","Energy","Not agri-food","yes","no",1994,"CH4",414590
"ALB","Albania","Energy","Not agri-food","yes","no",1994,"F-gases",NA
"ALB","Albania","Energy","Not agri-food","yes","no",1995,"Total",2298187.1999999997
"ALB","Albania","Energy","Not agri-food","yes","no",1995,"CO2",1990961.8999999997
"ALB","Albania","Energy","Not agri-food","yes","no",1995,"N2O",20767.399999999998
"ALB","Albania","Energy","Not agri-food","yes","no",1995,"CH4",286457.9
"ALB","Albania","Energy","Not agri-food","yes","no",1995,"F-gases",NA
"ALB","Albania","Energy","Not agri-food","yes","no",1996,"Total",2218556.9
"ALB","Albania","Energy","Not agri-food","yes","no",1996,"CO2",1915363.5
"ALB","Albania","Energy","Not agri-food","yes","no",1996,"N2O",20392.800000000003
"ALB","Albania","Energy","Not agri-food","yes","no",1996,"CH4",282800.6
"ALB","Albania","Energy","Not agri-food","yes","no",1996,"F-gases",NA
"ALB","Albania","Energy","Not agri-food","yes","no",1997,"Total",1766970
"ALB","Albania","Energy","Not agri-food","yes","no",1997,"CO2",1493293.6
"ALB","Albania","Energy","Not agri-food","yes","no",1997,"N2O",18320
"ALB","Albania","Energy","Not agri-food","yes","no",1997,"CH4",255356.4
"ALB","Albania","Energy","Not agri-food","yes","no",1997,"F-gases",NA
"ALB","Albania","Energy","Not agri-food","yes","no",1998,"Total",1988647.2000000002
"ALB","Albania","Energy","Not agri-food","yes","no",1998,"CO2",1716985.2000000002
"ALB","Albania","Energy","Not agri-food","yes","no",1998,"N2O",19219.100000000002
"ALB","Albania","Energy","Not agri-food","yes","no",1998,"CH4",252442.90000000002
"ALB","Albania","Energy","Not agri-food","yes","no",1998,"F-gases",NA
"ALB","Albania","Energy","Not agri-food","yes","no",1999,"Total",3206533.1
"ALB","Albania","Energy","Not agri-food","yes","no",1999,"CO2",2930567.1
"ALB","Albania","Energy","Not agri-food","yes","no",1999,"N2O",53754.1
"ALB","Albania","Energy","Not agri-food","yes","no",1999,"CH4",222211.90000000002
"ALB","Albania","Energy","Not agri-food","yes","no",1999,"F-gases",NA
"ALB","Albania","Energy","Not agri-food","yes","no",2000,"Total",3208096.8
"ALB","Albania","Energy","Not agri-food","yes","no",2000,"CO2",2937846.1999999997
"ALB","Albania","Energy","Not agri-food","yes","no",2000,"N2O",53768.6
"ALB","Albania","Energy","Not agri-food","yes","no",2000,"CH4",216482
"ALB","Albania","Energy","Not agri-food","yes","no",2000,"F-gases",NA
"ALB","Albania","Energy","Not agri-food","yes","no",2001,"Total",3492062.1
"ALB","Albania","Energy","Not agri-food","yes","no",2001,"CO2",3223824.6
"ALB","Albania","Energy","Not agri-food","yes","no",2001,"N2O",54234.8
"ALB","Albania","Energy","Not agri-food","yes","no",2001,"CH4",214002.7
"ALB","Albania","Energy","Not agri-food","yes","no",2001,"F-gases",NA
"ALB","Albania","Energy","Not agri-food","yes","no",2002,"Total",4049094.6
"ALB","Albania","Energy","Not agri-food","yes","no",2002,"CO2",3751981.6
"ALB","Albania","Energy","Not agri-food","yes","no",2002,"N2O",56802.5
"ALB","Albania","Energy","Not agri-food","yes","no",2002,"CH4",240310.5
"ALB","Albania","Energy","Not agri-food","yes","no",2002,"F-gases",NA
"ALB","Albania","Energy","Not agri-food","yes","no",2003,"Total",4275879.9
"ALB","Albania","Energy","Not agri-food","yes","no",2003,"CO2",4004999.8000000003
"ALB","Albania","Energy","Not agri-food","yes","no",2003,"N2O",56274.4
"ALB","Albania","Energy","Not agri-food","yes","no",2003,"CH4",214605.7
"ALB","Albania","Energy","Not agri-food","yes","no",2003,"F-gases",NA
"ALB","Albania","Energy","Not agri-food","yes","no",2004,"Total",4158616.4
"ALB","Albania","Energy","Not agri-food","yes","no",2004,"CO2",3880540.4
"ALB","Albania","Energy","Not agri-food","yes","no",2004,"N2O",37817.700000000004
"ALB","Albania","Energy","Not agri-food","yes","no",2004,"CH4",240258.3
"ALB","Albania","Energy","Not agri-food","yes","no",2004,"F-gases",NA
"ALB","Albania","Energy","Not agri-food","yes","no",2005,"Total",4297174
"ALB","Albania","Energy","Not agri-food","yes","no",2005,"CO2",4012465.7
"ALB","Albania","Energy","Not agri-food","yes","no",2005,"N2O",49001.5
"ALB","Albania","Energy","Not agri-food","yes","no",2005,"CH4",235706.8
"ALB","Albania","Energy","Not agri-food","yes","no",2005,"F-gases",NA
"ALB","Albania","Energy","Not agri-food","yes","no",2006,"Total",3949767.6
"ALB","Albania","Energy","Not agri-food","yes","no",2006,"CO2",3642335.1
"ALB","Albania","Energy","Not agri-food","yes","no",2006,"N2O",66740.4
"ALB","Albania","Energy","Not agri-food","yes","no",2006,"CH4",240692.1
"ALB","Albania","Energy","Not agri-food","yes","no",2006,"F-gases",NA
"ALB","Albania","Energy","Not agri-food","yes","no",2007,"Total",3776125.5999999996
"ALB","Albania","Energy","Not agri-food","yes","no",2007,"CO2",3488494.3999999994
"ALB","Albania","Energy","Not agri-food","yes","no",2007,"N2O",46530.8
"ALB","Albania","Energy","Not agri-food","yes","no",2007,"CH4",241100.4
"ALB","Albania","Energy","Not agri-food","yes","no",2007,"F-gases",NA
"ALB","Albania","Energy","Not agri-food","yes","no",2008,"Total",4202396.6
"ALB","Albania","Energy","Not agri-food","yes","no",2008,"CO2",3917549.6999999997
"ALB","Albania","Energy","Not agri-food","yes","no",2008,"N2O",47161.700000000004
