"ISO3","Area","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"ARE","United Arab Emirates","Energy","Not agri-food","yes","no",1992,"Total",81610105.89999999
"ARE","United Arab Emirates","Energy","Not agri-food","yes","no",1992,"CO2",56269548.99999999
"ARE","United Arab Emirates","Energy","Not agri-food","yes","no",1992,"N2O",143214.1
"ARE","United Arab Emirates","Energy","Not agri-food","yes","no",1992,"CH4",25197342.799999997
"ARE","United Arab Emirates","Energy","Not agri-food","yes","no",1992,"F-gases",NA
"ARE","United Arab Emirates","Energy","Not agri-food","yes","no",1993,"Total",92556559.2
"ARE","United Arab Emirates","Energy","Not agri-food","yes","no",1993,"CO2",64003316
"ARE","United Arab Emirates","Energy","Not agri-food","yes","no",1993,"N2O",157771.19999999998
"ARE","United Arab Emirates","Energy","Not agri-food","yes","no",1993,"CH4",28395472
"ARE","United Arab Emirates","Energy","Not agri-food","yes","no",1993,"F-gases",NA
"ARE","United Arab Emirates","Energy","Not agri-food","yes","no",1994,"Total",98492180.8
"ARE","United Arab Emirates","Energy","Not agri-food","yes","no",1994,"CO2",70651588
"ARE","United Arab Emirates","Energy","Not agri-food","yes","no",1994,"N2O",171360.7
"ARE","United Arab Emirates","Energy","Not agri-food","yes","no",1994,"CH4",27669232.1
"ARE","United Arab Emirates","Energy","Not agri-food","yes","no",1994,"F-gases",NA
"ARE","United Arab Emirates","Energy","Not agri-food","yes","no",1995,"Total",97042158.80000001
"ARE","United Arab Emirates","Energy","Not agri-food","yes","no",1995,"CO2",67695822.00000001
"ARE","United Arab Emirates","Energy","Not agri-food","yes","no",1995,"N2O",195777.6
"ARE","United Arab Emirates","Energy","Not agri-food","yes","no",1995,"CH4",29150559.2
"ARE","United Arab Emirates","Energy","Not agri-food","yes","no",1995,"F-gases",NA
"ARE","United Arab Emirates","Energy","Not agri-food","yes","no",1996,"Total",101658466.19999999
"ARE","United Arab Emirates","Energy","Not agri-food","yes","no",1996,"CO2",70449919.99999999
"ARE","United Arab Emirates","Energy","Not agri-food","yes","no",1996,"N2O",217524.6
"ARE","United Arab Emirates","Energy","Not agri-food","yes","no",1996,"CH4",30991021.6
"ARE","United Arab Emirates","Energy","Not agri-food","yes","no",1996,"F-gases",NA
