"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1992,"Total",56964350
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1992,"CO2",54600000
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1992,"N2O",474350
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1992,"CH4",1890000
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1992,"F-gases",0
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1993,"Total",57427500
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1993,"CO2",55100000
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1993,"N2O",482300
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1993,"CH4",1845200
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1993,"F-gases",0
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1994,"Total",57301500
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1994,"CO2",55100000
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1994,"N2O",482300
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1994,"CH4",1719200
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1994,"F-gases",0
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1995,"Total",60553650
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1995,"CO2",58300000
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1995,"N2O",500850
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1995,"CH4",1752800
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1995,"F-gases",0
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1996,"Total",64086800
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1996,"CO2",61800000
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1996,"N2O",508800
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1996,"CH4",1778000
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1996,"F-gases",0
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1997,"Total",63701200
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1997,"CO2",61500000
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1997,"N2O",487600
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1997,"CH4",1713600
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1997,"F-gases",0
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1998,"Total",64692800
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1998,"CO2",62500000
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1998,"N2O",487600
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1998,"CH4",1705200
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1998,"F-gases",0
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1999,"Total",62745850
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1999,"CO2",60500000
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1999,"N2O",490250
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1999,"CH4",1755600
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",1999,"F-gases",0
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",2000,"Total",62918450
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",2000,"CO2",60700000
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",2000,"N2O",479650
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",2000,"CH4",1738800
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",2000,"F-gases",0
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",2001,"Total",66601100.00000001
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",2001,"CO2",64300000.00000001
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",2001,"N2O",503500
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",2001,"CH4",1797600
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",2001,"F-gases",0
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",2002,"Total",68089450
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",2002,"CO2",65800000
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",2002,"N2O",511450
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",2002,"CH4",1778000
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",2002,"F-gases",0
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",2003,"Total",72799300
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",2003,"CO2",70500000
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",2003,"N2O",535300
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",2003,"CH4",1764000
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",2003,"F-gases",0
"AUT","Austria","Western Europe",NA,"Energy","Not agri-food","yes","no",2004,"Total",72753400
