"ISO3","Area","Item","Group","sector","agrifood","Year","tCO2eq_total","tCO2eq_N2O","tCO2eq_CH4","tCO2eq_Fgases"
"BEN","Benin","Energy","Not agri-food","yes","no",1992,1594661.7000000002,65790.59999999999,930851.5,NA
"BEN","Benin","Energy","Not agri-food","yes","no",1993,1752611.3,67352.09999999999,955192.3,NA
"BEN","Benin","Energy","Not agri-food","yes","no",1994,1892789.2999999998,68953.5,976498.5,NA
"BEN","Benin","Energy","Not agri-food","yes","no",1995,1928779.2,70287.5,981907.7,NA
"BEN","Benin","Energy","Not agri-food","yes","no",1996,2102534,81371.3,902614.7999999999,NA
"BEN","Benin","Energy","Not agri-food","yes","no",1997,2105662.2,81236,876580.5,NA
"BEN","Benin","Energy","Not agri-food","yes","no",1998,2069613.5,80356.9,874449.4,NA
"BEN","Benin","Energy","Not agri-food","yes","no",1999,2506365.1,77748.3,965530.2000000001,NA
"BEN","Benin","Energy","Not agri-food","yes","no",2000,2406540.7,62269.7,870231.5,NA
"BEN","Benin","Energy","Not agri-food","yes","no",2001,2656783.6,64829.2,901605.8,NA
"BEN","Benin","Energy","Not agri-food","yes","no",2002,2933418.4,68085.40000000001,910981.9,NA
"BEN","Benin","Energy","Not agri-food","yes","no",2003,3230916.7,70929.90000000001,930633.2999999999,NA
"BEN","Benin","Energy","Not agri-food","yes","no",2004,3415042.9,73090.1,958597.8,NA
"BEN","Benin","Energy","Not agri-food","yes","no",2005,3336967.9,76234.5,991046.1,NA
"BEN","Benin","Energy","Not agri-food","yes","no",2006,4277547.7,86693.1,1063159.5,NA
"BEN","Benin","Energy","Not agri-food","yes","no",2007,4915405.899999999,92813.5,1100891.9000000001,NA
"BEN","Benin","Energy","Not agri-food","yes","no",2008,4972316.1,96404.1,1135878,NA
"BEN","Benin","Energy","Not agri-food","yes","no",2009,5280503.300000001,103173.2,1173293.7,NA
"BEN","Benin","Energy","Not agri-food","yes","no",2010,6035613.8,99411.7,1495828.2999999998,NA
"BEN","Benin","Energy","Not agri-food","yes","no",2011,5904812.3,103327.4,1551779.6,NA
"BEN","Benin","Energy","Not agri-food","yes","no",2012,5864457.7,105775.3,1589644.6,NA
"BEN","Benin","Energy","Not agri-food","yes","no",2013,6266516.899999999,116357.6,1794119.7,NA
"BEN","Benin","Energy","Not agri-food","yes","no",2014,6550251.4,121391.59999999999,1845484.8,NA
"BEN","Benin","Energy","Not agri-food","yes","no",2015,7142250.399999999,128619.1,1898584.7000000002,NA
"BEN","Benin","Energy","Not agri-food","yes","no",2016,8402752.399999999,154555.2,1959806.7000000002,NA
"BEN","Benin","Energy","Not agri-food","yes","no",2017,8771356.700000001,159166.9,2019463.2999999998,NA
"BEN","Benin","Energy","Not agri-food","yes","no",2018,9292329.5,169411.6,2075520.5,NA
"BEN","Benin","Energy","Not agri-food","yes","no",2019,9144568,168581.7,2214591.5,NA
"BEN","Benin","Energy","Not agri-food","yes","no",2020,9839265.299999999,174591.6,2279939.9,NA
"BEN","Benin","Energy","Not agri-food","yes","no",2021,10040116.200000001,180977.7,2291001.2,NA
"BEN","Benin","Energy","Not agri-food","yes","no",2022,10115565.8,184694.1,2293467.2,NA
