"ISO3","Area","Item","Group","sector","agrifood","Year","Total","CO2","N2O","CH4","F-gases"
"BGD","Bangladesh","Energy","Not agri-food","yes","no",1992,21666694.200000003,15316111.000000004,1134777.9000000001,5215805.3,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",1993,22609073,16001813,1150310.3,5456949.7,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",1994,24359908.3,17475662,1158822,5725424.3,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",1995,28094138.7,20988346.9,1215627.5,5890164.300000001,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",1996,28521053.400000002,21355059,1198534.7,5967459.7,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",1997,30179467.5,22917106,1226561.4000000001,6035800.100000001,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",1998,30490687.099999998,22942820,1250160.9000000001,6297706.199999999,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",1999,32560838.9,24662558,1280728.1,6617552.800000001,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",2000,34064828.5,25839682.1,1272966.7999999998,6952179.600000001,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",2001,38892857.199999996,30122438.999999993,1369650.5999999999,7400767.600000001,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",2002,40193658.300000004,31123410.000000004,1396559.0999999999,7673689.2,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",2003,42080456.400000006,32648833.000000007,1407364.4,8024259,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",2004,45076813.699999996,35189803.99999999,1481121.3,8405888.4,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",2005,47342251.7,36958580,1545383.5,8838288.200000001,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",2006,52195763.9,41022245,1597216.5,9576302.4,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",2007,53671001.300000004,41994539,1664459.7000000002,10012002.6,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",2008,57029713,44641168,1787415.4000000001,10601129.6,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",2009,61589113.9,48492301,1868026.1,11228786.8,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",2010,67136375.10000001,53360800.10000001,2013624,11761951,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",2011,69810514.6,55908845,2138841.3,11762828.299999999,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",2012,74395686.5,60099511,2153619.6,12142555.899999999,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",2013,76085822.4,61117205.00000001,2109286.4,12859331,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",2014,80520971.60000001,65312582.00000001,2159840.5,13048549.1,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",2015,87985062.2,72154684,2172982.3000000003,13657395.9,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",2016,91986257.89999999,75154359,2235754.3000000003,14596144.6,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",2017,96481675.2,79615946,2255588.2,14610141,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",2018,97997381.6,81242354.89999999,2344637.1,14410389.6,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",2019,115870914.2,99391868,2245974.2,14233072,NA
"BGD","Bangladesh","Energy","Not agri-food","yes","no",2020,107868262.3,92317802.1,2098111.4,13452348.799999999,NA
