"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"BLR","Belarus","Eastern Europe",NA,"Energy","Not agri-food","yes","no",1992,"Total",91302400
"BLR","Belarus","Eastern Europe",NA,"Energy","Not agri-food","yes","no",1992,"CO2",87600000
"BLR","Belarus","Eastern Europe",NA,"Energy","Not agri-food","yes","no",1992,"N2O",678400
"BLR","Belarus","Eastern Europe",NA,"Energy","Not agri-food","yes","no",1992,"CH4",3024000
"BLR","Belarus","Eastern Europe",NA,"Energy","Not agri-food","yes","no",1992,"F-gases",0
"BLR","Belarus","Eastern Europe",NA,"Energy","Not agri-food","yes","no",1993,"Total",80512750
"BLR","Belarus","Eastern Europe",NA,"Energy","Not agri-food","yes","no",1993,"CO2",76900000
"BLR","Belarus","Eastern Europe",NA,"Energy","Not agri-food","yes","no",1993,"N2O",728750
"BLR","Belarus","Eastern Europe",NA,"Energy","Not agri-food","yes","no",1993,"CH4",2884000
"BLR","Belarus","Eastern Europe",NA,"Energy","Not agri-food","yes","no",1993,"F-gases",0
"BLR","Belarus","Eastern Europe",NA,"Energy","Not agri-food","yes","no",1994,"Total",68299700
"BLR","Belarus","Eastern Europe",NA,"Energy","Not agri-food","yes","no",1994,"CO2",65000000
"BLR","Belarus","Eastern Europe",NA,"Energy","Not agri-food","yes","no",1994,"N2O",471700
"BLR","Belarus","Eastern Europe",NA,"Energy","Not agri-food","yes","no",1994,"CH4",2828000
"BLR","Belarus","Eastern Europe",NA,"Energy","Not agri-food","yes","no",1994,"F-gases",0
"BLR","Belarus","Eastern Europe",NA,"Energy","Not agri-food","yes","no",1995,"Total",63864600
"BLR","Belarus","Eastern Europe",NA,"Energy","Not agri-food","yes","no",1995,"CO2",60700000
"BLR","Belarus","Eastern Europe",NA,"Energy","Not agri-food","yes","no",1995,"N2O",434600
"BLR","Belarus","Eastern Europe",NA,"Energy","Not agri-food","yes","no",1995,"CH4",2730000
"BLR","Belarus","Eastern Europe",NA,"Energy","Not agri-food","yes","no",1995,"F-gases",0
"BLR","Belarus","Eastern Europe",NA,"Energy","Not agri-food","yes","no",1996,"Total",63797100
"BLR","Belarus","Eastern Europe",NA,"Energy","Not agri-food","yes","no",1996,"CO2",60700000
"BLR","Belarus","Eastern Europe",NA,"Energy","Not agri-food","yes","no",1996,"N2O",439900
"BLR","Belarus","Eastern Europe",NA,"Energy","Not agri-food","yes","no",1996,"CH4",2657200
