"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1992,"Total",4277312
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1992,"CO2",0
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1992,"N2O",4277312
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1992,"CH4",0
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1992,"F-gases",0
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"Total",4319288
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"CO2",0
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"N2O",4319288
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"CH4",0
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"F-gases",0
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"Total",4705181
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"CO2",0
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"N2O",4705181
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"CH4",0
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"F-gases",0
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"Total",4841947.5
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"CO2",0
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"N2O",4841947.5
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"CH4",0
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"F-gases",0
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"Total",4234435
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"CO2",0
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"N2O",4234435
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"CH4",0
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"F-gases",0
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"Total",4535210
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"CO2",0
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"N2O",4535210
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"CH4",0
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"F-gases",0
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1998,"Total",4601910.5
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1998,"CO2",0
"BRA","Brazil","South America",NA,"Crop Residues","Not agri-food","no","Farm gate",1998,"N2O",4601910.5
