"ISO3","Area","Item","Group","sector","agrifood","Year","tCO2eq_total","tCO2eq_N2O","tCO2eq_CH4","tCO2eq_Fgases"
"BRA","Brazil","Energy","Not agri-food","yes","no",1992,246766172,4568386.4,29843525.6,NA
"BRA","Brazil","Energy","Not agri-food","yes","no",1993,256540099.1,4786091.1,29896818,NA
"BRA","Brazil","Energy","Not agri-food","yes","no",1994,268777704.6,5205034.6,30594060,NA
"BRA","Brazil","Energy","Not agri-food","yes","no",1995,282416279.90000004,5566101.899999999,29322118,NA
"BRA","Brazil","Energy","Not agri-food","yes","no",1996,304765473.40000004,6082928.2,29630115.2,NA
"BRA","Brazil","Energy","Not agri-food","yes","no",1997,319677376,6475098.8,30613517.2,NA
"BRA","Brazil","Energy","Not agri-food","yes","no",1998,330751345.3,6719579.300000001,31096296,NA
"BRA","Brazil","Energy","Not agri-food","yes","no",1999,339690014.2,6860625.8,33303138.400000002,NA
"BRA","Brazil","Energy","Not agri-food","yes","no",2000,348820792,5388589.2,35569522.8,NA
"BRA","Brazil","Energy","Not agri-food","yes","no",2001,356364166.8,5711454.399999999,33781042.4,NA
"BRA","Brazil","Energy","Not agri-food","yes","no",2002,353607402.5,5949495.7,35294296.8,NA
"BRA","Brazil","Energy","Not agri-food","yes","no",2003,347046171.2,6212828,38226913.2,NA
"BRA","Brazil","Energy","Not agri-food","yes","no",2004,365872682.4,6579616.399999999,41427596,NA
"BRA","Brazil","Energy","Not agri-food","yes","no",2005,376783624.59999996,6675422.6,44482942,NA
"BRA","Brazil","Energy","Not agri-food","yes","no",2006,373640870.3,6862460.699999999,42679019.6,NA
"BRA","Brazil","Energy","Not agri-food","yes","no",2007,387314553.1,7292490,42688853.199999996,NA
"BRA","Brazil","Energy","Not agri-food","yes","no",2008,412659901.7,7807176.1,45459475.6,NA
"BRA","Brazil","Energy","Not agri-food","yes","no",2009,386038950.8,7388368.8,38979822,NA
"BRA","Brazil","Energy","Not agri-food","yes","no",2010,436739773.3,8081240.5,40690582.8,NA
"BRA","Brazil","Energy","Not agri-food","yes","no",2011,454926367.2,7948706,41927211.199999996,NA
"BRA","Brazil","Energy","Not agri-food","yes","no",2012,482017279.90000004,8319491.900000001,42383698,NA
