"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"CAF","Central African Republic","Middle Africa",NA,"Energy","Not agri-food","yes","no",1992,"Total",699010
"CAF","Central African Republic","Middle Africa",NA,"Energy","Not agri-food","yes","no",1992,"CO2",194000
"CAF","Central African Republic","Middle Africa",NA,"Energy","Not agri-food","yes","no",1992,"N2O",51410
"CAF","Central African Republic","Middle Africa",NA,"Energy","Not agri-food","yes","no",1992,"CH4",453600
"CAF","Central African Republic","Middle Africa",NA,"Energy","Not agri-food","yes","no",1992,"F-gases",0
"CAF","Central African Republic","Middle Africa",NA,"Energy","Not agri-food","yes","no",1993,"Total",699680
"CAF","Central African Republic","Middle Africa",NA,"Energy","Not agri-food","yes","no",1993,"CO2",198000
"CAF","Central African Republic","Middle Africa",NA,"Energy","Not agri-food","yes","no",1993,"N2O",50880
"CAF","Central African Republic","Middle Africa",NA,"Energy","Not agri-food","yes","no",1993,"CH4",450800
"CAF","Central African Republic","Middle Africa",NA,"Energy","Not agri-food","yes","no",1993,"F-gases",0
"CAF","Central African Republic","Middle Africa",NA,"Energy","Not agri-food","yes","no",1994,"Total",672575
"CAF","Central African Republic","Middle Africa",NA,"Energy","Not agri-food","yes","no",1994,"CO2",209000
"CAF","Central African Republic","Middle Africa",NA,"Energy","Not agri-food","yes","no",1994,"N2O",46375
"CAF","Central African Republic","Middle Africa",NA,"Energy","Not agri-food","yes","no",1994,"CH4",417200
"CAF","Central African Republic","Middle Africa",NA,"Energy","Not agri-food","yes","no",1994,"F-gases",0
"CAF","Central African Republic","Middle Africa",NA,"Energy","Not agri-food","yes","no",1995,"Total",688165
"CAF","Central African Republic","Middle Africa",NA,"Energy","Not agri-food","yes","no",1995,"CO2",209000
"CAF","Central African Republic","Middle Africa",NA,"Energy","Not agri-food","yes","no",1995,"N2O",47965
"CAF","Central African Republic","Middle Africa",NA,"Energy","Not agri-food","yes","no",1995,"CH4",431200
"CAF","Central African Republic","Middle Africa",NA,"Energy","Not agri-food","yes","no",1995,"F-gases",0
"CAF","Central African Republic","Middle Africa",NA,"Energy","Not agri-food","yes","no",1996,"Total",641005
"CAF","Central African Republic","Middle Africa",NA,"Energy","Not agri-food","yes","no",1996,"CO2",213000
"CAF","Central African Republic","Middle Africa",NA,"Energy","Not agri-food","yes","no",1996,"N2O",41605
