"ISO3","Area","Item","Group","sector","agrifood","Year","Total","CO2","N2O","CH4","F-gases"
"CAN","Canada","Energy","Not agri-food","yes","no",1992,490301304.59999996,439154779.99999994,3177381,47969143.6,NA
"CAN","Canada","Energy","Not agri-food","yes","no",1993,496519874.7,442881780,3284087.5,50354007.2,NA
"CAN","Canada","Energy","Not agri-food","yes","no",1994,508925058,452253610,3725545.2,52945902.800000004,NA
"CAN","Canada","Energy","Not agri-food","yes","no",1995,522420946.5,463090850,3736331.7,55593764.8,NA
"CAN","Canada","Energy","Not agri-food","yes","no",1996,536337613.99999994,474805279.99999994,3784918.4,57747415.6,NA
"CAN","Canada","Energy","Not agri-food","yes","no",1997,555126819.6,490076450,3979258.8000000003,61071110.800000004,NA
"CAN","Canada","Energy","Not agri-food","yes","no",1998,566642467.5,501716100,4053922.3000000003,60872445.2,NA
"CAN","Canada","Energy","Not agri-food","yes","no",1999,575413543.7,510349660.00000006,4184161.3,60879722.4,NA
"CAN","Canada","Energy","Not agri-food","yes","no",2000,596913464.4000001,529354520.0000001,4283010,63275934.4,NA
"CAN","Canada","Energy","Not agri-food","yes","no",2001,590654150,522732950,4115626,63805574,NA
"CAN","Canada","Energy","Not agri-food","yes","no",2002,582635953.2,514185300.00000006,4193083.6,64257569.6,NA
"CAN","Canada","Energy","Not agri-food","yes","no",2003,615829008.5,547595170,4255358.9,63978479.6,NA
"CAN","Canada","Energy","Not agri-food","yes","no",2004,616772395.9,547623520,4357360.300000001,64791515.6,NA
"CAN","Canada","Energy","Not agri-food","yes","no",2005,625717337.8,557769570,4336771.399999999,63610996.400000006,NA
"CAN","Canada","Energy","Not agri-food","yes","no",2006,637090280.8,566581560,4336861.2,66171859.599999994,NA
"CAN","Canada","Energy","Not agri-food","yes","no",2007,639234210,568427930,4572084,66234196,NA
"CAN","Canada","Energy","Not agri-food","yes","no",2008,622079305.7,551654380,4503520.5,65921405.199999996,NA
"CAN","Canada","Energy","Not agri-food","yes","no",2009,593792365.4,527064320,3937972.6,62790072.800000004,NA
