"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1992,"Total",3004026750.3999996
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1992,"CO2",2560681599.9999995
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1992,"N2O",22712994.4
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1992,"CH4",420632156
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1992,"F-gases",0
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1993,"Total",3161441316
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1993,"CO2",2712646500
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1993,"N2O",23895796
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1993,"CH4",424899020
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1993,"F-gases",0
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1994,"Total",3341817419.7999997
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1994,"CO2",2889665599.9999995
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1994,"N2O",24197327.8
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1994,"CH4",427954492
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1994,"F-gases",0
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1995,"Total",3599114824.3
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1995,"CO2",3112085400
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1995,"N2O",26029052.3
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1995,"CH4",461000372
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1995,"F-gases",0
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1996,"Total",3700903996.5
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1996,"CO2",3238097300
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1996,"N2O",24422652.5
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1996,"CH4",438384044
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1996,"F-gases",0
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1997,"Total",3730224017.7000003
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1997,"CO2",3261056900.0000005
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1997,"N2O",26388977.7
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1997,"CH4",442778140
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1997,"F-gases",0
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1998,"Total",3518223733.1
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1998,"CO2",3078504700
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1998,"N2O",27472905.1
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1998,"CH4",412246128
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1998,"F-gases",0
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1999,"Total",3689132664.5
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1999,"CO2",3259765300
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1999,"N2O",27842296.5
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1999,"CH4",401525068
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",1999,"F-gases",0
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",2000,"Total",3804361927.5
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",2000,"CO2",3366779200
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",2000,"N2O",25759483.5
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",2000,"CH4",411823244
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",2000,"F-gases",0
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",2001,"Total",3863199462.2
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",2001,"CO2",3410875600
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",2001,"N2O",26175286.2
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",2001,"CH4",426148576
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",2001,"F-gases",0
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",2002,"Total",4239168865.7999997
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",2002,"CO2",3772781699.9999995
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",2002,"N2O",29034809.8
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",2002,"CH4",437352356
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",2002,"F-gases",0
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",2003,"Total",4991929298.8
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",2003,"CO2",4464047300
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",2003,"N2O",32805290.8
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",2003,"CH4",495076708
"CHN","China","Eastern Asia",NA,"Energy","Not agri-food","yes","no",2003,"F-gases",0
