"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1992,"Total",15692630
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1992,"CO2",4100000
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1992,"N2O",196630
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1992,"CH4",11396000
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1992,"F-gases",0
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1993,"Total",15192990
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1993,"CO2",4490000
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1993,"N2O",202990
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1993,"CH4",10500000
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1993,"F-gases",0
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1994,"Total",14242000
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1994,"CO2",4790000
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1994,"N2O",212000
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1994,"CH4",9240000
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1994,"F-gases",0
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1995,"Total",15249565
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1995,"CO2",5260000
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1995,"N2O",217565
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1995,"CH4",9772000
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1995,"F-gases",0
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1996,"Total",16804865
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1996,"CO2",5970000
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1996,"N2O",222865
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1996,"CH4",10612000
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1996,"F-gases",0
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1997,"Total",15518045
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1997,"CO2",5240000
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1997,"N2O",226045
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1997,"CH4",10052000
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1997,"F-gases",0
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1998,"Total",15575345
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1998,"CO2",5180000
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1998,"N2O",231345
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1998,"CH4",10164000
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1998,"F-gases",0
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1999,"Total",15388260
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1999,"CO2",4990000
"CMR","Cameroon","Middle Africa",NA,"Energy","Not agri-food","yes","no",1999,"N2O",234260
