"ISO3","Area","Item","Group","sector","agrifood","Year","Total","CO2","N2O","CH4","F-gases"
"COL","Colombia","Energy","Not agri-food","yes","no",1992,68066595.8,58626925.9,575452,8864217.9,NA
"COL","Colombia","Energy","Not agri-food","yes","no",1993,68523423.4,59659778.00000001,606925.6,8256719.800000001,NA
"COL","Colombia","Energy","Not agri-food","yes","no",1994,71919766.69999999,62791082.999999985,615855.2,8512828.5,NA
"COL","Colombia","Energy","Not agri-food","yes","no",1995,66116182.400000006,55539791.00000001,705949,9870442.4,NA
"COL","Colombia","Energy","Not agri-food","yes","no",1996,66814337.9,56595661,767760.2000000001,9450916.7,NA
"COL","Colombia","Energy","Not agri-food","yes","no",1997,73305494.7,60781978,775588.6000000001,11747928.1,NA
"COL","Colombia","Energy","Not agri-food","yes","no",1998,75495418.5,61870406,859986.4,12765026.1,NA
"COL","Colombia","Energy","Not agri-food","yes","no",1999,65045260.300000004,52843030.00000001,872733.1000000001,11329497.2,NA
"COL","Colombia","Energy","Not agri-food","yes","no",2000,66766157.099999994,53477231.99999999,635990.5,12652934.6,NA
"COL","Colombia","Energy","Not agri-food","yes","no",2001,67342747.39999999,53560643.99999999,653011.2000000001,13129092.2,NA
"COL","Colombia","Energy","Not agri-food","yes","no",2002,66622294.89999999,52655760.999999985,627286.2999999999,13339247.600000001,NA
"COL","Colombia","Energy","Not agri-food","yes","no",2003,67850310.4,54172649.00000001,657415,13020246.4,NA
"COL","Colombia","Energy","Not agri-food","yes","no",2004,64607604.9,51503348,637398,12466858.899999999,NA
"COL","Colombia","Energy","Not agri-food","yes","no",2005,69529065.2,56340476,643361.1,12545228.1,NA
"COL","Colombia","Energy","Not agri-food","yes","no",2006,72193985.6,58517357.99999999,690523,12986104.600000001,NA
"COL","Colombia","Energy","Not agri-food","yes","no",2007,70334020.5,56276600.9,704384.2,13353035.4,NA
"COL","Colombia","Energy","Not agri-food","yes","no",2008,77683528,63138995.9,707703.2000000001,13836828.9,NA
"COL","Colombia","Energy","Not agri-food","yes","no",2009,85512906,69590795,749241.7000000001,15172869.3,NA
"COL","Colombia","Energy","Not agri-food","yes","no",2010,90423287.3,73500486,757725.7,16165075.6,NA
"COL","Colombia","Energy","Not agri-food","yes","no",2011,90633346.69999999,72655195.99999999,864915,17113235.7,NA
"COL","Colombia","Energy","Not agri-food","yes","no",2012,94360386.5,76024846,906204.8999999999,17429335.599999998,NA
"COL","Colombia","Energy","Not agri-food","yes","no",2013,103677572.3,84626179,762615.4,18288777.900000002,NA
"COL","Colombia","Energy","Not agri-food","yes","no",2014,113271218.1,94309051,750412.1,18211755,NA
"COL","Colombia","Energy","Not agri-food","yes","no",2015,111005394.6,92500940,767625.3,17736829.3,NA
"COL","Colombia","Energy","Not agri-food","yes","no",2016,113547043,95658780,785242.5,17103020.5,NA
"COL","Colombia","Energy","Not agri-food","yes","no",2017,105929038.7,88342507,736341.7,16850190,NA
"COL","Colombia","Energy","Not agri-food","yes","no",2018,100625980.3,83260609,701667.5,16663703.799999999,NA
"COL","Colombia","Energy","Not agri-food","yes","no",2019,108199418.60000001,90393602.00000001,752974.9,17052841.7,NA
"COL","Colombia","Energy","Not agri-food","yes","no",2020,100849204.5,86197402,690354.6,13961447.899999999,NA
"COL","Colombia","Energy","Not agri-food","yes","no",2021,107430893.5,92902415.1,761503.4,13766975,NA
"COL","Colombia","Energy","Not agri-food","yes","no",2022,113166550.9,98568526,808398.1,13789626.8,NA
"COL","Colombia","Energy","Not agri-food","yes","no",2030,NA,NA,NA,NA,NA
"COL","Colombia","Energy","Not agri-food","yes","no",2050,NA,NA,NA,NA,NA
"COL","Colombia","IPPU","Not agri-food","yes","no",1992,3737735.4,3495000,151106.1,6462.5,85166.79999999999
"COL","Colombia","IPPU","Not agri-food","yes","no",1993,4225755.3,3949782.4,161867.8,6157.4,107947.7
"COL","Colombia","IPPU","Not agri-food","yes","no",1994,4987087.3,4602985.1,221276.90000000002,6414.799999999999,156410.5
"COL","Colombia","IPPU","Not agri-food","yes","no",1995,5022714.8,4578441.7,226777.3,6835.7,210660.1
"COL","Colombia","IPPU","Not agri-food","yes","no",1996,4947567.3,4425560.1,258742.00000000003,6946.7,256318.49999999997
"COL","Colombia","IPPU","Not agri-food","yes","no",1997,5088765.2,4511358.600000001,266848.3,7436.7,303121.6
"COL","Colombia","IPPU","Not agri-food","yes","no",1998,5139835.5,4586261.7,169531.5,5136,378906.3
"COL","Colombia","IPPU","Not agri-food","yes","no",1999,4209381.3,3554795.9,134221.9,6354.5999999999995,514008.9
"COL","Colombia","IPPU","Not agri-food","yes","no",2000,5134361.899999999,3991008.1999999993,256321.90000000002,4142.2,882889.6
"COL","Colombia","IPPU","Not agri-food","yes","no",2001,5370949.899999999,3886445.0999999996,271097,5090,1208317.8
"COL","Colombia","IPPU","Not agri-food","yes","no",2002,5719182.300000001,3923123.000000001,269176.2,5409.0999999999995,1521474
"COL","Colombia","IPPU","Not agri-food","yes","no",2003,6369635.199999999,4207585.8999999985,277507.7,5757.3,1878784.3
"COL","Colombia","IPPU","Not agri-food","yes","no",2004,6797718.399999999,4267361.5,282971.1,5886.2,2241499.6
"COL","Colombia","IPPU","Not agri-food","yes","no",2005,7965102.7,4998459.300000001,283417.5,6739.6,2676486.3
"COL","Colombia","IPPU","Not agri-food","yes","no",2006,7920654.3,4748263,341095,7324.0999999999995,2823972.2
"COL","Colombia","IPPU","Not agri-food","yes","no",2007,8426932.9,5167926.300000001,364658.1,7057.9,2887290.5999999996
"COL","Colombia","IPPU","Not agri-food","yes","no",2008,8138465.8,5020555.7,108155.4,6357.1,3003397.5999999996
"COL","Colombia","IPPU","Not agri-food","yes","no",2009,7763923.7,4541968.2,108821.1,7217.8,3105916.6
"COL","Colombia","IPPU","Not agri-food","yes","no",2010,7899436.2,4690330,109307.3,7099.1,3092699.8
"COL","Colombia","IPPU","Not agri-food","yes","no",2011,8491955.299999999,5258610.599999999,109695.7,5865.5,3117783.5
"COL","Colombia","IPPU","Not agri-food","yes","no",2012,8996360.4,5698153.9,110073.40000000001,6614.0999999999995,3181519
"COL","Colombia","IPPU","Not agri-food","yes","no",2013,8848734.700000001,5459780.900000001,110440.4,7022.4000000000005,3271491
"COL","Colombia","IPPU","Not agri-food","yes","no",2014,9651887,5974503.5,110797.4,6784,3559802.1
"COL","Colombia","IPPU","Not agri-food","yes","no",2015,10227618.6,6184533.8,111144.8,6522,3925418
"COL","Colombia","IPPU","Not agri-food","yes","no",2016,10537006.600000001,5953921.300000002,111482.5,6574.6,4465028.2
"COL","Colombia","IPPU","Not agri-food","yes","no",2017,11020593.5,5904529.899999999,111810.4,6921.5999999999995,4997331.600000001
"COL","Colombia","IPPU","Not agri-food","yes","no",2018,11720416.3,5953338.100000001,112127.70000000001,6921.299999999999,5648029.2
"COL","Colombia","IPPU","Not agri-food","yes","no",2019,12661904.7,6320656,112434,6660.1,6222154.6
"COL","Colombia","IPPU","Not agri-food","yes","no",2020,12699806.4,5758628.7,126802,6512.3,6807863.4
"COL","Colombia","IPPU","Not agri-food","yes","no",2021,14219724,6627865.5,132765.7,6967.8,7452125
"COL","Colombia","IPPU","Not agri-food","yes","no",2022,15195672.8,7003211.9,138693.3,7440.5,8046327.100000001
"COL","Colombia","IPPU","Not agri-food","yes","no",2030,NA,NA,NA,NA,NA
"COL","Colombia","IPPU","Not agri-food","yes","no",2050,NA,NA,NA,NA,NA
"COL","Colombia","Waste","Not agri-food","yes","no",1992,15332225.5,10765.5,833222.3,14488237.7,NA
"COL","Colombia","Waste","Not agri-food","yes","no",1993,15771273.1,11029.699999999255,862462.6,14897780.8,NA
"COL","Colombia","Waste","Not agri-food","yes","no",1994,16236762.8,11293.900000002235,893004.6,15332464.299999999,NA
"COL","Colombia","Waste","Not agri-food","yes","no",1995,16708765.299999999,11557.499999998137,917572.3,15779635.5,NA
"COL","Colombia","Waste","Not agri-food","yes","no",1996,17047317,11816.300000000745,936754.2999999999,16098746.4,NA
"COL","Colombia","Waste","Not agri-food","yes","no",1997,17432374.3,12073.89999999851,953543.8,16466756.600000001,NA
"COL","Colombia","Waste","Not agri-food","yes","no",1998,17804286.2,12331.400000002235,964796.2,16827158.599999998,NA
"COL","Colombia","Waste","Not agri-food","yes","no",1999,18041279.1,12590.10000000149,982525.3,17046163.7,NA
"COL","Colombia","Waste","Not agri-food","yes","no",2000,18425052.7,13342.300000000745,1000423.9,17411286.5,NA
"COL","Colombia","Waste","Not agri-food","yes","no",2001,18752255.6,13611,1018165.3,17720479.3,NA
