"ISO3","Area","Item","Group","sector","agrifood","Year","Total","CO2","N2O","CH4","F-gases"
"DNK","Denmark","Energy","Not agri-food","yes","no",1992,55692641.1,54356356,422303.60000000003,913981.5,NA
"DNK","Denmark","Energy","Not agri-food","yes","no",1993,58315980.6,56923511.1,437273.1,955196.4,NA
"DNK","Denmark","Energy","Not agri-food","yes","no",1994,62199471.3,60753448,450985.2,995038.1,NA
"DNK","Denmark","Energy","Not agri-food","yes","no",1995,58302975.6,56849464,445957,1007554.6000000001,NA
"DNK","Denmark","Energy","Not agri-food","yes","no",1996,73498550.5,71880973.9,499751.39999999997,1117825.2,NA
"DNK","Denmark","Energy","Not agri-food","yes","no",1997,62967033.8,61227665,471995,1267373.8,NA
"DNK","Denmark","Energy","Not agri-food","yes","no",1998,61020824.5,59361438.9,447388.5,1211997.1,NA
"DNK","Denmark","Energy","Not agri-food","yes","no",1999,56987831.1,55224566,441699.7,1321565.4,NA
"DNK","Denmark","Energy","Not agri-food","yes","no",2000,53268423.300000004,51471262.00000001,431600.39999999997,1365560.9,NA
"DNK","Denmark","Energy","Not agri-food","yes","no",2001,54960619.9,53128441,435281.4,1396897.5,NA
"DNK","Denmark","Energy","Not agri-food","yes","no",2002,54063544.300000004,52206711.00000001,438525.39999999997,1418307.9,NA
"DNK","Denmark","Energy","Not agri-food","yes","no",2003,58076596.8,56207863.099999994,470751.10000000003,1397982.6,NA
"DNK","Denmark","Energy","Not agri-food","yes","no",2004,52914518,50903336,451123.10000000003,1560058.9,NA
"DNK","Denmark","Energy","Not agri-food","yes","no",2005,49429939.3,47335200,440755.9,1653983.4000000001,NA
"DNK","Denmark","Energy","Not agri-food","yes","no",2006,56989969.9,54842669,477998.7,1669302.2000000002,NA
"DNK","Denmark","Energy","Not agri-food","yes","no",2007,52326302.300000004,50239027.1,471076.19999999995,1616199,NA
"DNK","Denmark","Energy","Not agri-food","yes","no",2008,49593543.5,47464662,470775.89999999997,1658105.6,NA
"DNK","Denmark","Energy","Not agri-food","yes","no",2009,46821831.7,44853941,467373.7,1500517,NA
"DNK","Denmark","Energy","Not agri-food","yes","no",2010,48274743.199999996,46261377.99999999,484108.3,1529256.9000000001,NA
"DNK","Denmark","Energy","Not agri-food","yes","no",2011,42814964.6,41005064,462089.1,1347811.5,NA
"DNK","Denmark","Energy","Not agri-food","yes","no",2012,38383097.5,36680091,438721.4,1264285.1,NA
"DNK","Denmark","Energy","Not agri-food","yes","no",2013,39789966.6,38130470,442962.10000000003,1216534.5,NA
"DNK","Denmark","Energy","Not agri-food","yes","no",2014,35479332.6,33854013,425859.2,1199460.4,NA
"DNK","Denmark","Energy","Not agri-food","yes","no",2015,33044628.2,31355262.099999998,432460.6,1256905.5,NA
"DNK","Denmark","Energy","Not agri-food","yes","no",2016,34094334,32363110.1,447530.19999999995,1283693.7,NA
"DNK","Denmark","Energy","Not agri-food","yes","no",2017,32733770.1,30977592,444676.8,1311501.2999999998,NA
"DNK","Denmark","Energy","Not agri-food","yes","no",2018,33187810.5,31509000,442327.4,1236483.0999999999,NA
