"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1992,"Total",27785548.299999997
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1992,"CO2",22340845.999999996
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1992,"N2O",151805.2
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1992,"CH4",5292897.100000001
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1992,"F-gases",0
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1993,"Total",30480245.200000003
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1993,"CO2",24686234.1
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1993,"N2O",151609.90000000002
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1993,"CH4",5642401.2
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1993,"F-gases",0
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1994,"Total",20224141.8
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1994,"CO2",14050277
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1994,"N2O",156033.09999999998
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1994,"CH4",6017831.7
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1994,"F-gases",0
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1995,"Total",29505275.5
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1995,"CO2",23077043
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1995,"N2O",171460
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1995,"CH4",6256772.5
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1995,"F-gases",0
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1996,"Total",31858762.599999998
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1996,"CO2",24779269.9
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1996,"N2O",212704.90000000002
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1996,"CH4",6866787.8
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1996,"F-gases",0
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1997,"Total",25653254.2
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1997,"CO2",18915437
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1997,"N2O",221073.7
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1997,"CH4",6516743.5
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1997,"F-gases",0
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1998,"Total",28842626.9
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1998,"CO2",22642204.9
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1998,"N2O",245114
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1998,"CH4",5955308
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1998,"F-gases",0
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1999,"Total",27513080.900000002
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1999,"CO2",21666468.1
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1999,"N2O",241557.7
"ECU","Ecuador","South America",NA,"Energy","Not agri-food","yes","no",1999,"CH4",5605055.1
