"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"Total",14760.5
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"CO2",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"N2O",14760.5
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"CH4",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"F-gases",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"Total",20935
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"CO2",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"N2O",20935
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"CH4",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"F-gases",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"Total",15237.5
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"CO2",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"N2O",15237.5
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"CH4",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"F-gases",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"Total",14946
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"CO2",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"N2O",14946
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"CH4",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"F-gases",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"Total",17781.5
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"CO2",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"N2O",17781.5
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"CH4",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"F-gases",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1998,"Total",35139
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1998,"CO2",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1998,"N2O",35139
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1998,"CH4",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1998,"F-gases",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1999,"Total",28699.5
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1999,"CO2",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1999,"N2O",28699.5
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1999,"CH4",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1999,"F-gases",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2000,"Total",16165
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2000,"CO2",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2000,"N2O",16165
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2000,"CH4",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2000,"F-gases",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2001,"Total",21306
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2001,"CO2",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2001,"N2O",21306
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2001,"CH4",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2001,"F-gases",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2002,"Total",14495.5
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2002,"CO2",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2002,"N2O",14495.5
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2002,"CH4",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2002,"F-gases",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2003,"Total",17596
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2003,"CO2",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2003,"N2O",17596
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2003,"CH4",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2003,"F-gases",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2004,"Total",18338
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2004,"CO2",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2004,"N2O",18338
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2004,"CH4",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2004,"F-gases",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2005,"Total",29150
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2005,"CO2",0
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2005,"N2O",29150
"ERI","Eritrea","Eastern Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",2005,"CH4",0
