"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1992,"Total",50774
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1992,"CO2",0
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1992,"N2O",50774
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1992,"CH4",0
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1992,"F-gases",0
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1993,"Total",59068.5
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1993,"CO2",0
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1993,"N2O",59068.5
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1993,"CH4",0
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1993,"F-gases",0
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1994,"Total",42161.5
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1994,"CO2",0
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1994,"N2O",42161.5
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1994,"CH4",0
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1994,"F-gases",0
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1995,"Total",40995.5
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1995,"CO2",0
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1995,"N2O",40995.5
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1995,"CH4",0
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1995,"F-gases",0
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1996,"Total",45235.5
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1996,"CO2",0
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1996,"N2O",45235.5
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1996,"CH4",0
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1996,"F-gases",0
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1997,"Total",46746
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1997,"CO2",0
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1997,"N2O",46746
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1997,"CH4",0
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1997,"F-gases",0
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1998,"Total",43248
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1998,"CO2",0
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1998,"N2O",43248
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1998,"CH4",0
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1998,"F-gases",0
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1999,"Total",34291
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1999,"CO2",0
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1999,"N2O",34291
"EST","Estonia","Northern Europe","Central Europe and the Baltic States","Crop Residues","Not agri-food","no","Farm gate",1999,"CH4",0
