"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1992,"Total",1405268.5
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1992,"CO2",0
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1992,"N2O",1405268.5
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1992,"CH4",0
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1992,"F-gases",0
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"Total",1245367.5
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"CO2",0
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"N2O",1245367.5
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"CH4",0
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"F-gases",0
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"Total",1267972
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"CO2",0
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"N2O",1267972
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"CH4",0
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"F-gases",0
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"Total",1380093.5
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"CO2",0
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"N2O",1380093.5
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"CH4",0
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"F-gases",0
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"Total",1543227.5
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"CO2",0
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"N2O",1543227.5
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"CH4",0
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"F-gases",0
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"Total",1485934.5
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"CO2",0
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"N2O",1485934.5
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"CH4",0
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"F-gases",0
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1998,"Total",1439930.5
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA,"Crop Residues","Not agri-food","no","Farm gate",1998,"CO2",0
