"ISO3","Area","Item","Group","sector","agrifood","Year","tCO2eq_total","tCO2eq_N2O","tCO2eq_CH4","tCO2eq_Fgases"
"GEO","Georgia","Energy","Not agri-food","yes","no",1992,15625219.7,109757.2,433919.6,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",1993,10445789.7,110156.9,534345.9,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",1994,6338039.1,65595.20000000001,240515.7,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",1995,2674319.5,80616.1,338539.8,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",1996,4581702.100000001,110123.7,448877.4,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",1997,4852497.7,83596.90000000001,375853.4,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",1998,5275062.7,78295.59999999999,338081.8,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",1999,4570166.8,68426.3,321464.9,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",2000,4749688.600000001,60141,325893.39999999997,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",2001,3965992.6,53846.200000000004,313837.7,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",2002,3575194.5,55297.600000000006,303526.4,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",2003,3971879.3000000003,54357.799999999996,315979.89999999997,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",2004,4479175.5,58379.7,309689,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",2005,5127980.1,57555.100000000006,226057.9,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",2006,6219559.4,63823.3,229698.3,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",2007,6517565.800000001,78234.2,241973.09999999998,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",2008,5448058.699999999,69770.9,233283.7,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",2009,6106578.7,54821,243016.69999999998,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",2010,6175153.4,57910.3,224188.6,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",2011,7522750.9,71341.6,209479.19999999998,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",2012,7969480.4,74705,217630.69999999998,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",2013,7794328.9,99203.2,296034.60000000003,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",2014,8723531.5,106272.3,289584.60000000003,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",2015,9451733.200000001,100954,262674.8,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",2016,9728539.4,90641.2,253719.2,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",2017,9715317.3,79270,241753,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",2018,9601403.1,74736.09999999999,213106.59999999998,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",2019,10143722.9,72389.5,200480.3,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",2020,9909121.8,63094.1,194320.5,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",2021,9070939.8,60971.8,185605.7,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",2022,9189918.5,62481.8,187414.4,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",2030,NA,NA,NA,NA
"GEO","Georgia","Energy","Not agri-food","yes","no",2050,NA,NA,NA,NA
"GEO","Georgia","IPPU","Not agri-food","yes","no",1992,1571261.6,676812.6,5652,2.4
"GEO","Georgia","IPPU","Not agri-food","yes","no",1993,1348611.5999999999,696294.2000000001,5041.4000000000005,3.6
