"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1992,"Total",2552410
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1992,"CO2",1060000
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1992,"N2O",168010
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1992,"CH4",1324400
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1992,"F-gases",0
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1993,"Total",2688245
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1993,"CO2",1090000
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1993,"N2O",173045
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1993,"CH4",1425200
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1993,"F-gases",0
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1994,"Total",2770360
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1994,"CO2",1130000
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1994,"N2O",175960
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1994,"CH4",1464400
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1994,"F-gases",0
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1995,"Total",2800565
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1995,"CO2",1170000
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1995,"N2O",185765
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1995,"CH4",1444800
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1995,"F-gases",0
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1996,"Total",3524635
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1996,"CO2",1240000
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1996,"N2O",195835
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1996,"CH4",2088800.0000000002
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1996,"F-gases",0
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1997,"Total",2885410
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1997,"CO2",1290000
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1997,"N2O",178610
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1997,"CH4",1416800
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1997,"F-gases",0
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1998,"Total",2955825
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1998,"CO2",1360000
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1998,"N2O",176225
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1998,"CH4",1419600
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1998,"F-gases",0
"GIN","Guinea","Western Africa",NA,"Energy","Not agri-food","yes","no",1999,"Total",3809040
