"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1992,"Total",74443950
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1992,"CO2",70300000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1992,"N2O",643950
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1992,"CH4",3500000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1992,"F-gases",0
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1993,"Total",73771950
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1993,"CO2",69600000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1993,"N2O",643950
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1993,"CH4",3528000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1993,"F-gases",0
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1994,"Total",76043850
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1994,"CO2",71800000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1994,"N2O",659850
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1994,"CH4",3584000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1994,"F-gases",0
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1995,"Total",75963900
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1995,"CO2",71700000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1995,"N2O",651900
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1995,"CH4",3612000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1995,"F-gases",0
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1996,"Total",77241200
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1996,"CO2",73000000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1996,"N2O",657200
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1996,"CH4",3584000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1996,"F-gases",0
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1997,"Total",80658500
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1997,"CO2",76300000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1997,"N2O",662500
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1997,"CH4",3696000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1997,"F-gases",0
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1998,"Total",84789050
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1998,"CO2",80300000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1998,"N2O",681050
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1998,"CH4",3808000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1998,"F-gases",0
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1999,"Total",84105050
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1999,"CO2",79700000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1999,"N2O",681050
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1999,"CH4",3724000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",1999,"F-gases",0
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2000,"Total",88454250
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2000,"CO2",84000000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2000,"N2O",702250
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2000,"CH4",3752000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2000,"F-gases",0
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2001,"Total",90990200
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2001,"CO2",86500000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2001,"N2O",710200
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2001,"CH4",3780000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2001,"F-gases",0
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2002,"Total",91114050
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2002,"CO2",86600000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2002,"N2O",734050
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2002,"CH4",3780000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2002,"F-gases",0
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2003,"Total",92933850
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2003,"CO2",88500000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2003,"N2O",765850
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2003,"CH4",3668000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2003,"F-gases",0
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2004,"Total",94216800
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2004,"CO2",89800000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2004,"N2O",720800
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2004,"CH4",3696000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2004,"F-gases",0
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2005,"Total",95696750
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2005,"CO2",91300000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2005,"N2O",728750
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2005,"CH4",3668000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2005,"F-gases",0
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2006,"Total",93912750
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2006,"CO2",89600000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2006,"N2O",728750
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2006,"CH4",3584000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2006,"F-gases",0
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2007,"Total",94350200
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2007,"CO2",90000000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2007,"N2O",710200
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2007,"CH4",3640000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2007,"F-gases",0
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2008,"Total",93778400
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2008,"CO2",89600000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2008,"N2O",678400
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2008,"CH4",3500000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2008,"F-gases",0
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2009,"Total",91064100
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2009,"CO2",87000000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2009,"N2O",620100
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2009,"CH4",3444000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2009,"F-gases",0
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2010,"Total",83107150
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2010,"CO2",79300000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2010,"N2O",559150
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2010,"CH4",3248000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2010,"F-gases",0
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2011,"Total",80968800
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2011,"CO2",77100000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2011,"N2O",508800
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2011,"CH4",3360000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2011,"F-gases",0
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2012,"Total",81457750
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2012,"CO2",77600000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2012,"N2O",357750
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2012,"CH4",3500000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2012,"F-gases",0
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2013,"Total",70007350
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2013,"CO2",66500000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2013,"N2O",315350
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2013,"CH4",3192000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2013,"F-gases",0
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2014,"Total",68246050
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2014,"CO2",64800000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2014,"N2O",310050
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2014,"CH4",3136000
"GRC","Greece","Southern Europe",NA,"Energy","Not agri-food","yes","no",2014,"F-gases",0
