"ISO3","Area","Item","Group","sector","agrifood","Year","tCO2eq_total","tCO2eq_N2O","tCO2eq_CH4","tCO2eq_Fgases"
"GTM","Guatemala","Energy","Not agri-food","yes","no",1992,6633069.3,192996.19999999998,1114823.4,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",1993,6412466.6,193870.7,1113205.6,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",1994,7537118,191846.6,1107281.6,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",1995,7954774.2,212923.69999999998,1147930.9000000001,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",1996,7524221.2,217108.6,1196364.3,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",1997,8444435.9,232780.9,1249544.5,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",1998,9598221.299999999,262476.60000000003,1327799.2999999998,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",1999,9910345.5,301247.8,1476787.5,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",2000,10657011.5,260384.2,1454333,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",2001,11118628.3,261360.2,1460254.7,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",2002,11983180.6,312898.5,1777767.5,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",2003,11796664.6,318678.7,1853133.4,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",2004,12511345.7,332590.10000000003,1898187.5999999999,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",2005,13405835.8,333106,1938070.8,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",2006,13486862,322022.10000000003,1953495.9,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",2007,13493789.1,337449.2,2000115.9,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",2008,12308831.3,325216,2074230.2,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",2009,13345391.299999999,358900.2,2127517.1,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",2010,12532964.1,364851.4,2160029.7,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",2011,12732407.6,389491.10000000003,2210305.4000000004,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",2012,13114541.1,385037.89999999997,2262066.2,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",2013,14378708.5,397214.3,2312927.2,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",2014,15260252.3,411556.89999999997,2366385.5,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",2015,17380625.2,426443.2,2410758,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",2016,18667255.9,472553.60000000003,2550929.3,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",2017,19175706.3,478200,2692820.3,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",2018,20571601.1,480935.9,2743150.0999999996,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",2019,21704731.5,497884.2,2806585.3000000003,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",2020,19463521.9,491775.5,2870148.4,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",2021,19862521,514341.1,2913445.9000000004,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",2022,20473960.9,518098.2,2913317.7,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",2030,NA,NA,NA,NA
"GTM","Guatemala","Energy","Not agri-food","yes","no",2050,NA,NA,NA,NA
"GTM","Guatemala","IPPU","Not agri-food","yes","no",1992,641127.2000000001,28.299999999999997,0,618.4
"GTM","Guatemala","IPPU","Not agri-food","yes","no",1993,538198,29,0,998.1
"GTM","Guatemala","IPPU","Not agri-food","yes","no",1994,566875,29.7,0,2348.3999999999996
"GTM","Guatemala","IPPU","Not agri-food","yes","no",1995,537034.5,30.3,0,4032.8999999999996
"GTM","Guatemala","IPPU","Not agri-food","yes","no",1996,615749.1,31,0,6326.5
"GTM","Guatemala","IPPU","Not agri-food","yes","no",1997,602860.8,31.7,0,8731
"GTM","Guatemala","IPPU","Not agri-food","yes","no",1998,695454.7999999999,32.5,0,11882.300000000001
"GTM","Guatemala","IPPU","Not agri-food","yes","no",1999,771964.3999999999,33.2,0,17327.8
"GTM","Guatemala","IPPU","Not agri-food","yes","no",2000,929043.1,34,0,31452.5
"GTM","Guatemala","IPPU","Not agri-food","yes","no",2001,936889.4,34.8,0,43087.899999999994
"GTM","Guatemala","IPPU","Not agri-food","yes","no",2002,1014468.7000000001,35.6,0,54254.3
"GTM","Guatemala","IPPU","Not agri-food","yes","no",2003,987186.2999999999,36.4,0,67019.5
"GTM","Guatemala","IPPU","Not agri-food","yes","no",2004,1065511.2,37.3,0,79922.70000000001
"GTM","Guatemala","IPPU","Not agri-food","yes","no",2005,1159770.8,38.199999999999996,0,95459.2
"GTM","Guatemala","IPPU","Not agri-food","yes","no",2006,1145617.2,39.1,0,100720.8
"GTM","Guatemala","IPPU","Not agri-food","yes","no",2007,1208101,39.9,0,102877.1
"GTM","Guatemala","IPPU","Not agri-food","yes","no",2008,1207595.9000000001,40.800000000000004,0,106984.3
"GTM","Guatemala","IPPU","Not agri-food","yes","no",2009,770439.7000000001,41.7,0,110591.7
"GTM","Guatemala","IPPU","Not agri-food","yes","no",2010,1286443,42.6,0,109941.2
"GTM","Guatemala","IPPU","Not agri-food","yes","no",2011,1311835.2,43.6,0,110699.8
