"ISO3","Area","Item","Group","sector","agrifood","Year","tCO2eq_total","tCO2eq_N2O","tCO2eq_CH4","tCO2eq_Fgases"
"HKG","China, Hong Kong Special Administrative Region","Energy","Not agri-food","yes","no",1992,32699035.5,338481.60000000003,82593.90000000001,NA
"HKG","China, Hong Kong Special Administrative Region","Energy","Not agri-food","yes","no",1993,34561759.7,362123.2,88326.5,NA
"HKG","China, Hong Kong Special Administrative Region","Energy","Not agri-food","yes","no",1994,30766046.8,353570.2,92534.7,NA
"HKG","China, Hong Kong Special Administrative Region","Energy","Not agri-food","yes","no",1995,30949396.5,338438.4,93014.1,NA
"HKG","China, Hong Kong Special Administrative Region","Energy","Not agri-food","yes","no",1996,28455104.5,250305.4,99544.1,NA
"HKG","China, Hong Kong Special Administrative Region","Energy","Not agri-food","yes","no",1997,30092083.8,245756.69999999998,105723.1,NA
"HKG","China, Hong Kong Special Administrative Region","Energy","Not agri-food","yes","no",1998,38843914.599999994,386661.7,125570.9,NA
"HKG","China, Hong Kong Special Administrative Region","Energy","Not agri-food","yes","no",1999,42646735.3,477713.7,144972.7,NA
"HKG","China, Hong Kong Special Administrative Region","Energy","Not agri-food","yes","no",2000,40224501.5,299161.1,130645.29999999999,NA
"HKG","China, Hong Kong Special Administrative Region","Energy","Not agri-food","yes","no",2001,37696073.3,251502.19999999998,128565,NA
"HKG","China, Hong Kong Special Administrative Region","Energy","Not agri-food","yes","no",2002,39364668.9,213700.8,118946.1,NA
"HKG","China, Hong Kong Special Administrative Region","Energy","Not agri-food","yes","no",2003,43110725.3,232861.1,116809.1,NA
"HKG","China, Hong Kong Special Administrative Region","Energy","Not agri-food","yes","no",2004,41476459.1,176900.2,107850.9,NA
"HKG","China, Hong Kong Special Administrative Region","Energy","Not agri-food","yes","no",2005,43664069.7,185450.1,112558.59999999999,NA
"HKG","China, Hong Kong Special Administrative Region","Energy","Not agri-food","yes","no",2006,41850040.6,187471.6,107858,NA
"HKG","China, Hong Kong Special Administrative Region","Energy","Not agri-food","yes","no",2007,43533358.6,207335.90000000002,106629.7,NA
