"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1992,"Total",44414
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1992,"CO2",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1992,"N2O",44414
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1992,"CH4",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1992,"F-gases",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"Total",45686
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"CO2",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"N2O",45686
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"CH4",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"F-gases",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"Total",47170
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"CO2",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"N2O",47170
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"CH4",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"F-gases",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"Total",47859
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"CO2",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"N2O",47859
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"CH4",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"F-gases",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"Total",49263.5
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"CO2",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"N2O",49263.5
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"CH4",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"F-gases",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"Total",48415.5
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"CO2",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"N2O",48415.5
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"CH4",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"F-gases",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1998,"Total",42718
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1998,"CO2",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1998,"N2O",42718
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1998,"CH4",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1998,"F-gases",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1999,"Total",40757
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1999,"CO2",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1999,"N2O",40757
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1999,"CH4",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",1999,"F-gases",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",2000,"Total",42082
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",2000,"CO2",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",2000,"N2O",42082
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",2000,"CH4",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",2000,"F-gases",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",2001,"Total",38928.5
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",2001,"CO2",0
"HND","Honduras","Central America",NA,"Crop Residues","Not agri-food","no","Farm gate",2001,"N2O",38928.5
